Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
2017704;2017704;002-59679;INTERNE;C'PRO Groupe;LOC PURE;Oui;Non;Oui;Non;Non;20;2552,3798828125;201;21/05/2016;21/05/2013;20/05/2018;221 247 802 283 782;Non;-2 231,00 â‚¬ / -87.41 %;255,24 â‚¬ / 10.00 %;2 883,21 â‚¬ / 112.96 %
2018729;CTR-023750/0002;002-40528;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Oui;Non;Oui;22;2540,3000488281;119,13;01/07/2016;01/04/2011;30/09/2016;2243766;Non;-425,14 â‚¬ / -16.74 %;304,84 â‚¬ / 12.00 %;-1 642,75 â‚¬ / -64.67 %
2018591;CTR-024653/0002;002-48190;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Oui;Non;Non;20;66096,3515625;3777,59;01/07/2016;22/07/2011;30/09/2016;225 081 302 251 289;Non;-1 145,80 â‚¬ / -1.73 %;7 931,56 â‚¬ / 12.00 %;-32 168,86 â‚¬ / -48.67 %
2018678;CTR-025018/0002;002-49884;INTERNE;C'PRO Groupe;ACECOM;Non;Non;Oui;Non;Oui;22;1409,2900390625;81,9;01/07/2016;10/11/2011;30/06/2017;2254546;Non;128,25 â‚¬ / 9.10 %;169,11 â‚¬ / 12.00 %;-257,42 â‚¬ / -18.27 %
2018751;CTR-026964/0002;002-49161;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Non;Non;Non;22;1054,2800292969;56,97;01/07/2016;09/01/2012;30/09/2017;2257356;Non;26,61 â‚¬ / 2.52 %;126,51 â‚¬ / 12.00 %;-334,68 â‚¬ / -31.74 %
2015478;10003041320-1;002-51784;INTERNE;C'PRO Groupe;CM CIC BAIL LOC ADOSSEE;Non;Oui;Non;Non;Non;21;3049,1799316406;186;07/05/2016;07/02/2012;06/05/2017;2258925;Non;563,49 â‚¬ / 18.48 %;304,92 â‚¬ / 10.00 %;-200,48 â‚¬ / -6.57 %
2018329;CTR-027561/0002;002-52143;INTERNE;C'PRO Groupe;ACECOM;Oui;Oui;Non;Non;Non;22;38909,55859375;2102,55;01/07/2016;07/03/2012;30/09/2017;2260310;Non;-394,93 â‚¬ / -1.01 %;4 669,15 â‚¬ / 12.00 %;-27 877,43 â‚¬ / -71.65 %
2018748;CTR-027598/0002;002-52598;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Oui;Non;Oui;21;12245,169921875;689,28;01/07/2016;20/03/2012;30/06/2017;2261128;Non;-199,98 â‚¬ / -1.63 %;1 469,42 â‚¬ / 12.00 %;-3 904,74 â‚¬ / -31.89 %
2015686;228454FC0-01;002-51412;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;20;10281,639648438;606;23/06/2016;23/03/2012;22/03/2017;2261244;Non;731,65 â‚¬ / 7.12 %;1 028,16 â‚¬ / 10.00 %;-9 074,82 â‚¬ / -88.26 %
2015685;228454FC0-02;002-51485;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;20;10135,469726562;606;23/06/2016;23/03/2012;22/03/2017;2261246;Non;893,65 â‚¬ / 8.82 %;1 013,55 â‚¬ / 10.00 %;4 394,88 â‚¬ / 43.36 %
2015723;10003423260-02;002-48126;INTERNE;C'PRO Groupe;CM CIC BAIL LOC ADOSSEE;Non;Oui;Non;Non;Non;21;1399,0400390625;90;29/06/2016;29/03/2012;28/06/2017;2261678;Non;372,30 â‚¬ / 26.61 %;139,90 â‚¬ / 10.00 %;-1 291,80 â‚¬ / -92.33 %
2018668;CTR-027753/0002;002-53087;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Oui;Non;Oui;21;19141,919921875;1077,49;01/07/2016;30/03/2012;30/06/2017;2262043;Non;-431,95 â‚¬ / -2.26 %;2 297,03 â‚¬ / 12.00 %;-4 144,09 â‚¬ / -21.65 %
2018741;CTR-027907/0002;002-52623;INTERNE;C'PRO Groupe;ACECOM;Oui;Non;Oui;Non;Oui;21;2779,0900878906;156,44;01/07/2016;01/04/2012;30/06/2017;2262124;Non;-65,15 â‚¬ / -2.34 %;333,49 â‚¬ / 12.00 %;-1 097,54 â‚¬ / -39.49 %
