N° Projet;Montant Loyer;Durée;;Montant Financé
36136;166;21;6,075;2732,5103
35805;630;21;0,06079;10363,5466
35808;NULL;NULL;NULL;NULL
36798;177;21;6,075;2913,5802
35913;5799,37;60;5,72;101387,5874
47107;231;63;1,983;11649,0166
35959;311;16;7,569;4108,8651
35961;462;21;5,662;8159,6609
35968;312;21;5,681;5491,9908
36051;488;21;5,888;8288,0435
35980;360;21;5,8;6206,8966
36314;NULL;NULL;NULL;NULL
36034;421,76;16;7,382;5713,3568
45829;NULL;NULL;NULL;NULL
36109;NULL;NULL;NULL;NULL
36457;96;21;6,408;1498,1273
36010;324;21;5,718;5666,3169
36012;204;21;6,039;3378,0427
36126;400,5;21;5,757;6956,7483
36022;975;4;7,174;13590,7444
36026;997,5;21;5,594;17831,6053
36321;249;21;6,075;4098,7654
36027;282;21;6,23;4526,4848
35946;390;2;14,402;2707,9572
36032;1015;20;5,834;17398,0117
36035;1906;12;9,644;19763,5836
36043;1989;21;5,876;33849,5575
36041;NULL;NULL;NULL;NULL
36059;240;21;6,084;3944,7732
36061;NULL;NULL;NULL;NULL
36048;149,4;21;6,1;2449,1803
36063;390;16;7,265;5368,2037
36064;210;21;6,039;3477,3969
36065;389;20;5,996;6487,6584
36066;831;21;5,622;14781,2166
36074;432;21;5,956;7253,1901
36045;474;21;5,888;8050,2717
36075;NULL;NULL;NULL;NULL
36082;1810;16;7;25857,1429
36086;444;20;5,996;7404,9366
36090;588;21;5,662;10385,023
36089;489;NULL;5,94;8232,3232
35797;638;21;5,698;11196,9112
36094;360;21;5,662;6358,1773
36095;360;21;5,662;6358,1773
36057;961,6;21;5,594;17189,8463
36096;NULL;NULL;NULL;NULL
36107;1404,7;21;5,784;24285,9613
36093;683,26;42;7,115;9603,0921
36112;774;21;5,693;13595,6438
36115;1250,58;42;7,115;17576,669
35929;509,6;12;9,214;5530,7141
36127;1096;12;9,214;11894,9425
36129;122;60;2,10708;5790,0032
36139;261,5;21;6,093;4291,8103
36039;375;21;5,757;6513,8093
36011;82;21;6,4;1281,25
36140;NULL;NULL;NULL;NULL
36147;501,8;16;7,72;6500
36180;438;7;15,637;2801,0488
36806;997;21;5,52;18061,5942
36157;NULL;NULL;NULL;NULL
36158;270;21;6,039;4470,9389
35904;249;36;9,674;2573,9094
36329;NULL;NULL;NULL;NULL
36334;NULL;NULL;NULL;NULL
48123;81;20;6,623;1223
35941;NULL;NULL;NULL;NULL
35947;333;21;6,161;5404,9667
35972;400;12;9,536;4194,6309
34362;NULL;NULL;NULL;NULL
36037;268;14;8,723;3072,3375
36044;346,02;20;5,934;5831,1426
36050;99;21;6,37;1554,1601
36052;268,74;21;5,83236;4607,7403
36053;868,18;21;5,594;15519,8427
36146;790;21;5,921;13342,3408
36058;326;21;5,718;5701,2942
36060;NULL;NULL;NULL;NULL
47109;1062,31;21;5,615;18919,1451
36067;NULL;NULL;NULL;NULL
36068;542,35;21;NULL;NULL
36003;875;21;5,594;15641,759
36078;1359,09;21;5,594;24295,4952
36088;800;21;5,961;13420,567
36084;435;21;5,693;7640,9626
35255;663;21;5,662;11709,6432
36092;305;21;5,757;5297,8982
36209;386,5;21;5,751;6720,5703
35887;545;21;5,698;9564,7596
35707;198;21;6,028;3284,6715
37990;174;21;NULL;2864,62
35890;1202;21;5,594;21487,3078
36118;30;21;6,439;465,9109
36121;531;21;5,731;9265,3987
36122;NULL;NULL;NULL;NULL
36128;NULL;NULL;NULL;NULL
32646;525;12;9,385;5594,033
36150;588;21;5,961;9864,1168
36152;345;21;5,757;5992,7045
37622;644;21;5,785;11132,2385
36163;242,72;20;6,27;3871,1324
36166;625;21;5,955999931;10493,62
34341;447;21;6,09500019;7333,88
36170;243;21;6,161;3944,1649
36173;391,8;21;5,757;6805,6279
36176;575,82;21;6,82;8443,1085
36201;1029;3;9,214;11167,7881
36205;655,86;5;5,855;11201,7079
35451;NULL;NULL;NULL;NULL
47110;600;21;5,895;10178,117
36221;NULL;NULL;NULL;NULL
36228;563,2;21;5,662;9947,0152
35800;NULL;NULL;NULL;NULL
36233;NULL;NULL;NULL;NULL
36236;NULL;NULL;NULL;NULL
