N° dossier Hexapage;N° fact HF;Leaser;Client final;SIREN;Fournisseur / Adhérent;Groupe;N° fact Adh;Facture HF HT;N° contrat Leaseur;MF HEXAPAGE
3951;1841;BNP PARIBAS LEASE GROUP;ESAT;303356182;Perret Bureautique;Groupe BCMP;;3 513,13 €;W0162905;3219,55
3975;1969;BNP PARIBAS LEASE GROUP;IPEC Sud Concours;484328562;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 729,88 €;W0164134;12114,85
4158;1920;BNP PARIBAS LEASE GROUP;Dallard Motos;791923444;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 284,93 €;W0171015;1139,64
4161;2051;BNP PARIBAS LEASE GROUP;Realco;323253351;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 058,41 €;W0183482;4715,85
4201;2050;BNP PARIBAS LEASE GROUP;ESAT;303356182;Perret Bureautique;Groupe BCMP;;1 765,91 €;W0173236;1574,25
4216;2506;BNP PARIBAS LEASE GROUP;Labege Auto Sport;429430606;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 987,33 €;W0232867;7558,21
4338;2022;BNP PARIBAS LEASE GROUP;St Jeance;523602860;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 644,52 €;W0179078;6202,31
4439;2327;BNP PARIBAS LEASE GROUP;Ogec Ecole Joseph Niel;776825424;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;21 212,09 €;W0188537;20613,57
4441;2512;BNP PARIBAS LEASE GROUP;PromoConfort;338153711;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;16 717,63 €;W0198495;16245,77
4528;3443;BNP PARIBAS LEASE GROUP;RBC;480616796;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;15 480,85 €;X0071968;14719,2
4574;2159;BNP PARIBAS LEASE GROUP;Institut Supérieur Vidal ISV Formation;808342521;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 912,81 €;W0203203;13395,84
4575;2352;BNP PARIBAS LEASE GROUP;Institut Supérieur Vidal ISV Formation;808342521;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 986,05 €;W0188800;9449,74
4579;2481;BNP PARIBAS LEASE GROUP;RBF;517913562;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 966,58 €;W0191528;7538,57
4655;2505;BNP PARIBAS LEASE GROUP;Variala SN;493935852;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 520,25 €;W0232882;8062,55
4677;2471;BNP PARIBAS LEASE GROUP;Pierre Sansac;424433811;Perret Bureautique;Groupe BCMP;;22 196,40 €;W0232592;21570,13
4790;3644;BNP PARIBAS LEASE GROUP;Vivre au Satie;493951305;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 920,59 €;X0082997;3591,96
5023;2462;BNP PARIBAS LEASE GROUP;Diagora;382660041;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;12 622,59 €;W0207425;12153,48
5037;2297;BNP PARIBAS LEASE GROUP;Ecosphere;429146194;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;1 908,15 €;W0208043;1724,51
5058;2387;BNP PARIBAS LEASE GROUP;Sanchez;410781645;Perret Bureautique;Groupe BCMP;;5 386,13 €;W0209029;5096,53
5096;2589;BNP PARIBAS LEASE GROUP;BJ Invest;494134075;Perret Bureautique;Groupe BCMP;;19 073,69 €;W0210701;18535,43
5115;2429;BNP PARIBAS LEASE GROUP;Val Informatique;334691987;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;19 522,46 €;W0211483;18971,55
5150;2464;BNP PARIBAS LEASE GROUP;Lycée Saliege;348644808;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;201 927,00 €;W0212859;200038,18
5178;2472;BNP PARIBAS LEASE GROUP;Sogexfo;397471129;Perret Bureautique;Groupe BCMP;;13 295,75 €;W0232390;12801,67
5255;2716;BNP PARIBAS LEASE GROUP;Instep Midi Pyrénées;353087653;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;18 120,05 €;X0014758;17608,66
5350;2965;BNP PARIBAS LEASE GROUP;SEUT;303436737;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;11 169,97 €;W0221161;10713,09
5436;2427;BNP PARIBAS LEASE GROUP;ECF Sacareau;776848053;Perret Bureautique;Groupe BCMP;;4 825,17 €;W0224400;4476,92
5466;2634-2;BNP PARIBAS LEASE GROUP;YMCA ESAT;303356182;Perret Bureautique;Groupe BCMP;;824,73 €;W0225903;747,93
5467;2636;BNP PARIBAS LEASE GROUP;YMCA ESAT;303356182;Perret Bureautique;Groupe BCMP;;1 773,97 €;W0225907;1609,58
5521;3428;BNP PARIBAS LEASE GROUP;Toulouse Transaction;411580921;Perret Bureautique;Groupe BCMP;;16 429,54 €;X0071912;15766,03
5564;3223;BNP PARIBAS LEASE GROUP;De lima Pro Deco;495300089;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 642,72 €;W0229483;14044,02
5566;2779;BNP PARIBAS LEASE GROUP;Commune de Ganties;213102080;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 432,30 €;X0018087;4125,95
5568;2755;BNP PARIBAS LEASE GROUP;Commune de St Sulpice sur Leze;213105174;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 695,74 €;X0018146;2559,28
5607;3009;BNP PARIBAS LEASE GROUP;SOTODEX;528443054;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 658,86 €;W0231771;9104,67
5608;2654;BNP PARIBAS LEASE GROUP;Mairie de Montgaillard Lauragais;213103773;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 970,02 €;W0231846;2820,41
5646;2875;BNP PARIBAS LEASE GROUP;Richard Lauga;390890572;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;7 547,06 €;X0028266;7113,87
5764;2837;BNP PARIBAS LEASE GROUP;Promotion Toma and Co;493596563;Perret Bureautique;Groupe BCMP;;8 560,73 €;X0005253;8069,45
5766;2966;BNP PARIBAS LEASE GROUP;Invivogen;311471734;Perret Bureautique;Groupe BCMP;;10 419,11 €;X0017028;9821,35
5811;2994;BNP PARIBAS LEASE GROUP;Foyer Françis Barousse;263101370;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 302,39 €;X0007218;9103,9
5890;3010;BNP PARIBAS LEASE GROUP;SOTODEX;528443054;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 419,11 €;X0011324;9821,35
5928;3645;BNP PARIBAS LEASE GROUP;Cardete & Huet;353312689;Perret Bureautique;Groupe BCMP;;35 075,82 €;X0012381;33826,84
5938;3303;BNP PARIBAS LEASE GROUP;OGEC Saint Joseph;776778425;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 382,46 €;X0063699;7880,01
5966;3037;BNP PARIBAS LEASE GROUP;Abault Commerces Immo;440346518;Perret Bureautique;Groupe BCMP;;13 929,39 €;X0014489;13359,83
5967;3090;BNP PARIBAS LEASE GROUP;CGEM Toulouse;518666029;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;6 333,47 €;X0013564;5969,82
5993;2835;BNP PARIBAS LEASE GROUP;ESAY YMCA Cournaudis;303356182;Perret Bureautique;Groupe BCMP;;4 944,39 €;X0014880;4583,41
5994;2969;BNP PARIBAS LEASE GROUP;YMCA ESAT;303356182;Perret Bureautique;Groupe BCMP;;30 539,77 €;X0014855;29380,09
5998;3091;BNP PARIBAS LEASE GROUP;RISO;378793665;Perret Bureautique;Groupe BCMP;;4 273,47 €;X0045854;3949,58
6051;3405;BNP PARIBAS LEASE GROUP;S2D;479224685;Perret Bureautique;Groupe BCMP;;3 352,51 €;X0017487;3071,4
6067;2995;BNP PARIBAS LEASE GROUP;OTCE Infra;491431987;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;33 755,12 €;X0017710;32620,71
6081;2980;BNP PARIBAS LEASE GROUP;Afich Festival Cinéspana;389945791;Perret Bureautique;Groupe BCMP;;5 012,89 €;X0018651;4633,08
6124;3951;BNP PARIBAS LEASE GROUP;EPI;352964597;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 861,85 €;X0109355;13179,78
6125;3210;BNP PARIBAS LEASE GROUP;Canceropole Grand Sud Ouest;130004179;Perret Bureautique;Groupe BCMP;;5 519,72 €;X0020566;5202,7
6139;3322;BNP PARIBAS LEASE GROUP;LEP Rural Prive le Saves;776838237;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 715,52 €;X0064599;5387,27
6163;2878;BNP PARIBAS LEASE GROUP;Capitole Taxi;413628447;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;14 455,00 €;X0027511;13863,97
6188;3162;BNP PARIBAS LEASE GROUP;STIG;315947317;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 367,56 €;X0039072;8005,75
6252;3035;BNP PARIBAS LEASE GROUP;Opale;484913793;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;19 009,93 €;X0027522;18401,87
6318;3054;BNP PARIBAS LEASE GROUP;OPALE;484913793;Perret Bureautique;Groupe BCMP;;9 382,92 €;X0028359;8844,53
6332;3568;BNP PARIBAS LEASE GROUP;RMP SOPRECO;580800423;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;102 848,94 €;X0029261;100995,12
6368;3064;BNP PARIBAS LEASE GROUP;ESAT YMCA Colomiers;303356182;Perret Bureautique;Groupe BCMP;;3 542,23 €;X0029815;3283,41
6372;3065;BNP PARIBAS LEASE GROUP;Moulin Marty Corinne;441932050;Perret Bureautique;Groupe BCMP;;5 350,78 €;X0031143;5043,43
6424;3211;BNP PARIBAS LEASE GROUP;Marques areges SELARL;483947347;Perret Bureautique;Groupe BCMP;;11 858,88 €;X0056883;11373,87
6446;3183;BNP PARIBAS LEASE GROUP;Pharmacie de Moundran;752168179;Perret Bureautique;Groupe BCMP;;5 500,96 €;X0055861;5185
6480;3180;BNP PARIBAS LEASE GROUP;Guillemot Bois Industrie;798481453;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 411,41 €;X0055879;9814
6500;3386;BNP PARIBAS LEASE GROUP;Les Cintreurs Reunis;428229199;Perret Bureautique;Groupe BCMP;;21 723,89 €;X0067740;20884,87
6558;3823;BNP PARIBAS LEASE GROUP;SSI Formation Arlenque;803493733;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;9 601,31 €;X0037837;8971,95
6571;3178;BNP PARIBAS LEASE GROUP;Meas France;418929725;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;5 344,70 €;X0038257;5136,59
6612;3323;BNP PARIBAS LEASE GROUP;Alsatis;479858235;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;37 473,02 €;X0040421;36252,27
6659;3569;BNP PARIBAS LEASE GROUP;3S SAS;500438312;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 579,75 €;X0048726;3279,62
6864;3629;BNP PARIBAS LEASE GROUP;Serfvice Santé Travail;776938862;Perret Bureautique;Groupe BCMP;;37 633,96 €;X0083346;36818,78
6935;3445;BNP PARIBAS LEASE GROUP;Pierre Busca Diffusion;415079292;Perret Bureautique;Groupe BCMP;;10 775,32 €;X0072984;10244,95
