Société qui factire la location ;Site commercial;Ing Commercial financé;Client;SIRET client;Nom client;Avenant;Commentaire;Date effet;Fin validité;Période Fac;Nb loyers;Somme de Mt financé € HT ;Somme de Mt Loyer intercaoaire HT et /ou 49 € de frais de dossier;Somme de Loyer client € HT 
AceCom;Capea Avignon;DECHENAUX Marie;ABRILO9223;404930927;ABRILOU;CTR-031614/0001;CANON IR ADVANCE C5235I - NS JWF27428;01/01/2014;31/03/2019;Trimestrielle;21;10929,79;49;1014
;;;BORTOL7342;43208246900037;ARCHITECTE ANDREA BORTOLUS;CTR-031688/0001;MULTIFONCTION SHARP MX-2640NSF - NS 350340400;01/04/2014;30/06/2019;Trimestrielle;21;6502;0;417
;;;FOYER9343;30435178600013;ASSOCIATION LA MERCI;CTR-021436/0001;"COPIEUR SHARP AR-M201NF - 08001584 _x000D_
VILLEDIEU - FOYER LA RAMADE";17/05/2010;30/09/2015;Trimestrielle;21;1161,87;38,16;77,16
;;;;;;CTR-021436/0002;"COPIEUR SHARP AR-M201NF - 08001534_x000D_
VAISON LA ROMAINE - FOYER BON ESPER_x000D_
_x000D_
_x000D_
VILLEDIEU - FOYER LA RAMADE";17/05/2010;30/09/2015;Trimestrielle;21;1161,88;38,16;77,16
;;;FRADOT84;40093759500058;FRANCE ADOT 84;CTR-031474/0001;COPIEUR CANON IRAC2220I - NSLYK02266;01/01/2014;31/03/2019;Trimestrielle;21;5505;49;351
;;Total DECHENAUX Marie;;;;;;;;;;25260,54;174,32;1936,32
;;DECHENAUX Sébastien;JEUNE7028;383198108;LES VIGNOBLES ELIE JEUNE SAS;CTR-031613/0001;COPIEUR CANON IRAC2230I - NS LYB08717;01/01/2014;31/03/2019;Trimestrielle;21;8993,68;604;555
;;;MAIVAL2045;21840138800010;MAIRIE DE VALREAS;CTR-026711/0001;"COPIEUR CANON IPF 815 - NS AADC0388 - _x000D_
CANON SCANNER CI C40 - NS DN108525";05/12/2011;31/03/2018;Trimestrielle;20;11808,12;228,65;779,1
;;;;;;CTR-027742/0001;"COPIEUR SHARP MX-M310 - NS 1502861X_x000D_
";29/03/2012;31/03/2018;Trimestrielle;16;2816,4;7,88;239
;;;MISSOL0604;70672011700011;MISSOLIN FRERES;CTR-027744/0001;MULTIFONCTION SHARP MX-3111USF - NS 25033701;29/03/2012;30/06/2017;Trimestrielle;21;4958,93;10,75;326
;;Total DECHENAUX Sébastien;;;;;;;;;;28577,13;851,28;1899,1
;;DUMONT Guilhem;MAIFON3179;218401396;MAIRIE DE FONTAINE DE VAUCLUSE ;CTR-023859/0001;COPIEUR SHARP MX-AR-M236 - NS 65011804;18/05/2011;30/09/2016;Trimestrielle;21;1987,65;63,82;132
;;Total DUMONT Guilhem;;;;;;;;;;1987,65;63,82;132
;;LOPEZ Bernard;EXTERN4020;43039598800040;SARL AFC EXTERNIS;CTR-030445/0001;COPIEUR SHARP MX-B382SF - NS : 18013614;18/04/2013;30/06/2018;Trimestrielle;20;2820,91;161,01;198
;;;RMG5000;307206037;AVIGNON TOURISME;CTR-028968/0002;"Confère Annexe 3  PARC MATERIEL D' IMPRESSION CANON_x000D_
N° 24, 33, 52_x000D_
";01/10/2012;30/06/2018;Trimestrielle;19;6321,92;0;400,61
;;;;;;CTR-028968/0004;"CANON IR C5030I - NS GNM01177_x000D_
";01/01/2014;30/06/2018;Trimestrielle;14;12409,96;0;1020
;;;;;;CTR-028968/0001;"Confère Annexe 2  PARC MATERIEL D' IMPRESSION CANON
N° 1, 6, 9, 12, 19, 20, 21, 27, 34, 37, 42, 44, 46, 47, 50, 58, 59, 60, 62, 65, 69,77, 78, 79.
";01/07/2012;30/06/2018;Trimestrielle;20;107423,27;0;5985
;;;;;;CTR-028968/0003;"Confère Annexe 4 PARC MATERIEL D' IMPRESSION CANON
N° 53 et 80
";01/04/2013;30/06/2018;Trimestrielle;17;27991,03;0;1431
;;;;;;CTR-028968/0005;"CONFERE ANNEXE 6,8,14,39,61
CANON IR ADVANCE C5235I - NS JWF40579 - JWF40533 
COPIEUR IRA 2020I NS: FAK16952
LBP7780CX COLORLASER - NS MMKA003213
";01/04/2014;30/06/2018;Trimestrielle;13;33975,98;0;2980
;;;;;;CTR-028968/0006;"CONFERE ANNEXE 6_x000D_
N35 BILLETERIE DU PALAIS_x000D_
CANON IR1024 - NS DRQ35644_x000D_
N15 SIEGE ACCUEIL_x000D_
CANON LBP7780 - NS MMKA022149_x000D_
_x000D_
";01/07/2015;30/06/2018;Trimestrielle;8;3889,39;0;534
;;;SOGEBI9930;307320077;SA SOGEBI;CTR-031652/0001;CANON C2225i - NS LYE21219;17/01/2014;30/06/2019;Trimestrielle;21;4001;258,67;255
;;Total LOPEZ Bernard;;;;;;;;;;198833,46;419,68;12803,61
;;PELLET Jean-Louis;AXEAU9503;791957236;RESO' DETECTION;CTR-031328/0001;MULTIFONCTION SHARP MX-2314NSF - NS 35078614;01/10/2013;31/12/2018;Trimestrielle;21;5707;0;375
;;;VITEMB7320;42136612100026;SIRAP TARASCON;CTR-021555/0001;"CONTRAT CPP  - MFP X264DN NS 3501VT0_x000D_
N° 490002141";12/04/2010;11/04/2013;Trimestrielle;12;551,33;0;142,64
;;Total PELLET Jean-Louis;;;;;;;;;;6258,33;0;517,64
;;PORTE Fabrice;LOGIST7938;431891407;SUEZ RV MEDITERRANEE;CTR-024524/0001;"CANON IR ADVANCE C5030I - NS FSQ34964_x000D_
bon de Commande B4121100033";08/09/2011;31/12/2016;Trimestrielle;21;3285,57;49,53;198,12
;;;PROVEN1292;50943097100036;PROVENCE VALORISATIONS;CTR-024234/0001;CANON ADVANCE C5030I - NS GNM59948;19/07/2011;31/12/2016;Trimestrielle;21;3285,57;159,36;198,12
;;;SITANI9060;073804122;SITA NIMES;CTR-023047/0001;COPIEUR CANON IRC2380 - NS DCF46885;01/01/2011;31/03/2016;Trimestrielle;21;11036,14;0;687
;;;SITASU1299;712620715;SUEZ RV MEDITERRANEE;CTR-028613/0001;CANON IR ADVANCE C5030I - NS : GNM85326;29/06/2012;28/09/2017;Trimestrielle;21;3186,07;0;192,12
;;;SITASU6480;71262071500169;SITA SUD ;CTR-023862/0001;COPIEUR CANON ADVANCE C50300I - NS GNM56848;18/05/2011;30/09/2016;Trimestrielle;21;3285,57;95,79;198,12
;;;;;;CTR-024502/0001;CANON ADVANCE C5030I - NS GNM62904;01/10/2011;31/12/2016;Trimestrielle;21;6069,65;0;366
;;Total PORTE Fabrice;;;;;;;;;;30148,57;304,68;1839,48
;Total Capea Avignon;;;;;;;;;;;291065,68;1813,78;19128,15
;Capea Bordeaux;ATTIDEKOU Jean-Yves;BADMIN5543;343022638;LIGUE D'AQUITAINE BADMINTON;CTR-024748/0001;"FINANCEMENT EURALLIANCE_x000D_
KYOCERA TASKALFA 250CI - NS QJK1235246_x000D_
";10/10/2011;31/03/2017;Trimestrielle;21;5577,47;320,58;311
;;Total ATTIDEKOU Jean-Yves;;;;;;;;;;5577,47;320,58;311
;;GIRAUD Yves;BAYJOL9766;799727797;SCP BAYLE-JOLY;CTR-030945/0001;MATERIEL INFORMATIQUE - SERVEUR HP ;28/08/2013;31/08/2018;Mensuelle;60;8940,23;62,97;178
