siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;a garder vide;montant fin client
442239059;23642;01/04/2018;3 307.17;63;1;189.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7X33014;19;0;H2 ION;bnp;A1A39048;;3616.87
450271937;23903;01/07/2018;4 866.05;63;1;278.09;0;1.00;54.91;TRIMESTRE;NON;NON;0;W2S7X32881;19;0;SOC ETUDES TECHN INFRASTRUCTURE BATIME;bnp;A1A45327;;5321.34
252508007;25777;01/10/2018;8 079.24;63;1;450.09;0;1.00;614.91;TRIMESTRE;NON;NON;0;E204RA65172;19;0;SI REGROUPEMENT PEDAGO TROIS MOULINS;bnp;A1B25972;;8446.03
192500163;25831;01/10/2018;11 782.90;63;1;651.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W8443997;19;0;COLLEGE BONNEMAILLE LOUIS;bnp;A1B28402;;12215.95
538554429;26424;01/10/2018;19 996.43;63;1;1095.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W8544440;19;0;SELARL HEUBERGER-LARESCHE;bnp;A1B56193;;20950.51
505366930;26576;01/10/2018;15 250.09;63;1;835.09;0;1.00;354.91;TRIMESTRE;NON;NON;0;W317802384;19;0;SCHWERDORFFER WEIERMANN PICHOFF;bnp;A1B63971;;15977.89
530009653;27530;01/01/2019;5 565.55;63;1;312.00;0;1.03;0.00;TRIMESTRE;NON;NON;0;R4Z8807188;19;0;ALCIS GROUP;bnp;A1C18790;;6042.19
410151989;27060;01/01/2019;16 637.96;63;1;911.09;0;1.06;294.91;TRIMESTRE;NON;NON;0;W2N8828498;19;0;MECANIQUE DE PRECISION MEZIROISE SARL;bnp;A1C19495;;17642.39
423525591;27716;01/01/2019;1 430.84;63;1;84.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;7528824012MPF;19;0;DEVELOPPEMENT APPLICATION;bnp;A1C27329;;1627.43
479808503;27931;01/01/2019;3 807.43;63;1;217.59;0;1.00;94.41;TRIMESTRE;NON;NON;0;W2W8952948;19;0;MCGP;bnp;A1C38032;;4181.82
