siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;montant fin client
219104692;22828;14/02/2018;5 871.14;66;1;317.30;0;1.00;0.00;TRIMESTRE;NON;NON;0;V937307117;18;0;COMMUNE D'ORMOY LA RIVIERE;bnp;A1A04487;6209.66
775708183;21577;01/01/2018;26 863.49;63;1;1485.75;0;1.00;0.00;TRIMESTRE;NON;NON;114.27;S9024000060;18;0;ASS POUR INSERTION EDUCATION ET SOINS;bnp;A1A05014;28426.36
813438140;22941;01/04/2018;974.36;63;1;57.20;0;1.00;133.69;TRIMESTRE;NON;NON;0;7528738011NKW;18;0;SELFAIR;bnp;A1A08842;1095.27
309332682;22857;01/04/2018;7 420.71;63;1;416.00;0;1.00;37.49;TRIMESTRE;NON;NON;0;W2W7Y33415;18;0;MILTIADE SA;bnp;A1A10824;7959.84
434193421;23091;01/04/2018;12 526.42;63;1;699.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;JWF35639;18;0;A.D.COM;bnp;A1A14050;13374.22
219106549;23104;14/01/2018;4 552.93;63;1;261.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7X32474;18;0;MAIRIE DE VIDELLES;bnp;A1A14287;4898.10
702041914;23326;01/04/2018;6 698.45;48;1;480.00;0;1.00;0.00;TRIMESTRE;NON;NON;28.79;V6E5802038;18;0;HALLES PARIS SUD;bnp;A1A22515;7160.65
520218538;23460;01/04/2018;5 055.13;36;1;469.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD6252112;18;0;ORCHESTRA AGENCEMENTS;bnp;A1A28230;5345.87
219104635;23037;22/03/2018;10 272.96;66;1;555.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7Y33413;18;0;COMMUNE DE ONCY SUR ECOLE;bnp;A1A28432;10860.85
481860872;11848;01/04/2018;5 176.68;63;1;293.10;0;1.00;0.00;TRIMESTRE;NON;NON;22.55;WSJ14157;18;0;ISABELLE JAMIN ARCHITECTE;bnp;A1A28706;5608.51
309662005;23581;01/04/2018;17 111.12;63;1;937.00;0;1.08;0.00;TRIMESTRE;NON;NON;72.07;2AG02580;18;0;VAL EQUIPEMENT;bnp;A1A33340;17927.64
784622797;19687;01/04/2018;15 065.83;63;1;825.00;0;1.00;0.00;TRIMESTRE;NON;NON;63.46;W2W7Y33424;18;0;ASSOC DEVELOPPEMENT TECHNIQUES;bnp;A1A37761;15784.85
