siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;numero contrat leaser;a garder vide;montant financement leaser
380254821;969;01/01/2014;4436.59;63;1;261.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;NUZ3714253;18;0;SA ALU LIVRY;Franfi;001072178-00;;4842.44
492889654;2677;01/07/2014;12748.68;60;1;1 562.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M233025;18;0;SAS FLERTEX;Franfi;001176512-00;;27840.36
798812111;2884;01/07/2014;3007.1;60;1;184.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;V2294603646;18;0;EURL MAISON DE LA PRESSE LILI;Franfi;001183263-00;;3289.37
784900417;20243;01/07/2017;2895.57;24;1;390.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LSN7231658;18;0;SAS LES TROIS SOLEILS;Franfi;001471768-00;;3022.37
705580223;2436;01/07/2014;2098.98;60;1;132.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;NND3Y10086;18;0;SAS ETABLISSEMENTS TOURSOR;Franfi;001157574-00;;2358.76
489715912;1420;01/04/2014;20776.75;63;1;1 161.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8K3901414;18;0;SARL EESM BERMUDEZ;Franfi;001113883-00;;21537.18
778692467;1514;01/04/2014;13726.62;63;1;745.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M132349;18;0;ASSC OGEC SAINT ETIENNE;Franfi;001136923-00;;14452.76
398270595;920;01/01/2014;1369.24;66;1;80.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;W3929201059;18;0;AFJ CRECHE LES LUCIOLES;Franfi;001072456-00;;1546.07
427020367;1235;01/04/2014;5733.23;63;1;330.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD3901251;18;0;SA ETABLISSEMENTS DELPRAT;Franfi;001090914-00;;6122.43
198910572;2036;01/04/2014;9116.66;63;1;530.00;0;1.00;0;TRIMESTRE;OUI;NON;0.00;L8F3Y02849;18;0;COLL COLLEGE PHILIPPE COUSTEAU;Franfi;001136247-00;;9851.72
442802443;1339;01/07/2014;6257.37;60;1;420.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M121435;18;0;SARL LA FERME DE BOURGOGNE;Franfi;001151112-00;;6684.43
537586638;2576;01/07/2014;10140.15;60;1;596.54;0;1.00;0;TRIMESTRE;OUI;NON;0.00;E154M121481;18;0;SARL TRIMATE;Franfi;001164904-00;;10632.95
218902765;1981;01/07/2014;6195.47;60;1;375.00;0;1.00;0;TRIMESTRE;NON;NON;0.00; ;18;0;MAIR COMMUNE DE NEUVY-SAUTOUR;Franfi;001165065-00;;6693.9
333188837;2470;01/07/2014;8960.53;60;1;537.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E164M230424;18;0;SAS SYSTEMES ATTUM;Franfi;001165364-00;;9593.59
412732000;2832;01/07/2014;1502.96;63;1;91.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;W3048603789;18;0;SARL ETS JEHANNO;Franfi;001175970-00;;1695.3
217702364;2833;01/07/2014;5590.42;63;1;325.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M121473;18;0;ADM COMMUNE JAULNES;Franfi;001176447-00;;6064.58
778692467;2527;01/07/2014;4385.59;63;1;258.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LCA4302778;18;0;ASSC OGEC SAINT ETIENNE;Franfi;001169232-00;;4800.57
218900207;3391;01/10/2014;5204.15;60;1;315.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4311905;18;0;MAIR COMMUNE D'ASNIERES SOUS B;Franfi;001189342-00;;5638.64
801237298;2921;01/10/2014;7508.84;60;1;450.00;0;1.00;0;TRIMESTRE;NON;NON;34.14;V1292800969;18;0;SAS STRULIK FRANCE;Franfi;001208006-00;;8043.53
218902963;2740;01/07/2014;6037.61;63;1;351.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M233016;18;0;MAIR COMMUNE DE PERRIGNY SUR A;Franfi;001176458-00;;6549.69
492889654;2698;01/10/2014;3399.33;60;1;208.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E334M421514;18;0;SAS FLERTEX;Franfi;001204625-00;;3708.05
217703552;2986;01/07/2014;4392.74;63;1;261.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4209047;18;0;MAIR COMMUNE DE PAROY;Franfi;001177570-00;;4865.95
381912815;2706;01/07/2014;1800.24;63;1;109.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;QAW9913363;18;0;SARL SPOA;Franfi;001178264-00;;2030.48
778673707;1796;01/10/2014;5656.68;60;1;339.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M431343;18;0;ASSC OFFICE DU TOURISME;Franfi;001201525-00;;6059.65
217700319;8624;01/10/2015;2736.66;48;1;200.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;V9314502739;18;0;ADM COMMUNE DE BERNAY VILBERT;Franfi;001323986-00;;2988.38
491669693;8435;01/10/2015;3862.3;48;1;360.00;0;0.01;0;TRIMESTRE;NON;NON;0.00;LHD5637191;18;0;SARL KARUKELEC;Franfi;001327995-00;;4083.79
481753119;2073;01/07/2014;12380.53;63;1;699.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M130025;18;0;SARL GPG INVESTISSEMENTS;Franfi;001150803-00;;13004.57
682014568;2465;01/07/2014;5298.9;63;1;305.00;0;1.00;0;TRIMESTRE;NON;NON;28.69;V1404503876;18;0;SA LE CARTONNAGE INDUSTRIEL;Franfi;001154150-00;;5688.33
778655381;2451;01/07/2014;5993.83;63;1;345.00;0;1.00;0;TRIMESTRE;NON;NON;30.40;E154M120011;18;0;SCEA DU DOMAINE VOCORET ET FIL;Franfi;001157569-00;;6434.24
401522933;2207;01/07/2014;21062.36;63;1;1 266.41;0;1.00;0;TRIMESTRE;NON;NON;0.00;E174M130026;18;0;M. MICHEL CADET;Franfi;001160698-00;;21896.79
217704659;2825;01/07/2014;4392.74;63;1;261.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4209105;18;0;MAIR COMMUNE THOURY FEROTTES;Franfi;001165464-00;;4865.83
442047908;3683;01/10/2014;8700.04;63;1;500.77;0;1.00;0;TRIMESTRE;NON;NON;0.00;LSN4400912;18;0;SARL STE FROMAGERE PARISIENNE;Franfi;001221005-00;;9344.11
519063499;3301;01/10/2014;4674.56;63;1;275.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E204R760123;18;0;SAS LABORATOIRE AQUALITHE;Franfi;001202805-00;;5121.58
324919505;3832;01/10/2014;2328.54;63;1;141.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LBG4402553;18;0;ASSC SECOURS POPULAIRE FRANCAI;Franfi;001235421-00;;2631.54
483656120;3708;01/10/2014;5420.52;63;1;312.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154M520717;18;0;SARL ENODIS PRODUCTIONS;Franfi;001220106-00;;5822.05
414633982;3640;01/10/2014;7904.88;63;1;455.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4513859;18;0;SARL HAMARNILS;Franfi;001227658-00;;8490.13
218902617;16154;01/01/2017;1254.74;36;1;117.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;1466V822;18;0;MAIR COMMUNE DE MOLINONS;Franfi;001432596-00;;1337.3
512469164;739;01/01/2014;3873.2;72;1;237.00;0;0.01;0;TRIMESTRE;NON;NON;0.00;NUZ3714232;18;0;SARL CLOTILDE DAVENNE;Franfi;001062584-00;;4213.39
410048201;764;01/11/2013;11510.29;75;1;218.00;0;0.01;0;MOIS;NON;NON;0.00;E173M831045;18;0;SCP DE METZ RIZZO DE METZ DAUD;Franfi;001065016-00;;12081.61
775567761;4277;01/01/2015;4385.6;63;1;258.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L7U4816730;18;0;MUTU FRANCAISE BOURGUIGNONNE S;Franfi;001247901-00;;4849.08
480057298;13851;01/10/2016;11269.13;42;1;894.99;0;1.00;0;TRIMESTRE;NON;NON;0.00;V1S6331608;18;0;SASU NOUVELLE FROMAGERIE DE VA;Franfi;001391592-00;;11765.91
379719388;5353;01/04/2015;3000.08;60;1;180.00;0;1.00;0;TRIMESTRE;NON;NON;25.06;V2294400877;18;0;MR JEAN-FRANCOIS ALLIOT;Franfi;001283242-00;;3256.72
440235117;3882;01/01/2015;4419.6;63;1;250.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4717690;18;0;ASSC UNIVERSITE SENONAISE POUR;Franfi;001260659-00;;4886.66
508751922;4229;01/01/2015;4402.6;63;1;259.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4716119;18;0;SAS MILLOT IMMOBILIER;Franfi;001265540-00;;4867.87
333659092;4857;01/04/2015;3400.08;60;1;204.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;WM14121076;18;0;SA DU PRE FORET;Franfi;001283573-00;;3690.84
718205297;5528;01/04/2015;27342.48;60;1;1 570.00;0;1.00;0;TRIMESTRE;NON;NON;0.00; ;18;0;SAS CML - CONSORTIUM DE MATERI;Franfi;001283577-00;;28399.59
718205297;5528;01/04/2015;27342.48;60;1;1 570.00;0;1.00;0;TRIMESTRE;NON;NON;70.77;E164MA30480;18;0;SAS CML - CONSORTIUM DE MATERI;Franfi;001283577-00;;28399.59
778649772;4942;01/04/2015;30280.29;60;1;2 569.50;0;1.00;0;TRIMESTRE;NON;NON;0.00;V2S4Y48866;18;0;ASSC UNION DEPART ASSOC FAMILL;Franfi;001284698-00;;31490.37
784900417;16284;01/04/2017;8386.02;36;1;770.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;870LSNLV18;18;0;SAS LES TROIS SOLEILS;Franfi;001453925-00;;8757.12
429827967;1633;01/04/2014;2521.24;72;1;238.00;0;0.01;0;TRIMESTRE;NON;NON;0.00;7463369904R8B;18;0;SARL FESTOOL FRANCE;Franfi;001122641-00;;2666.76
439975640;738;01/04/2014;8409.89;72;1;504.00;0;0.01;0;TRIMESTRE;NON;NON;36.24;E153M531882;18;0;FOND CAISSES D EPARGNE SOLIDAR;Franfi;001064257-00;;8959.26
217703016;968;01/01/2014;3947.72;75;1;234.56;0;0.01;0;TRIMESTRE;NON;NON;0.00;NUZ3714249;18;0;ADM COMMUNE MONTCEAUX LES PROV;Franfi;001065788-00;;4308.89
217700665;967;01/01/2014;3947.72;75;1;234.56;0;0.01;0;TRIMESTRE;NON;NON;0.00;NUZ3714251;18;0;ADM MAIRIE DE CERNEUX;Franfi;001072304-00;;4308.89
379812837;915;01/01/2014;7296.81;75;1;420.00;0;0.01;0;TRIMESTRE;OUI;NON;0.00;E153M831346;18;0;SARL FORMATIC;Franfi;001075424-00;;7791.97
435033139;1043;01/01/2014;3008.75;75;1;177.00;0;0.01;0;TRIMESTRE;NON;NON;23.18;W793P901075;18;0;SARL ETABLISSEMENT LEJONC;Franfi;001085545-00;;3284.2
798842480;1313;01/04/2014;4640.57;72;1;273.00;0;0.01;0;TRIMESTRE;NON;NON;0.00;LHD3901477;18;0;SAS MACONNERIE PERROT;Franfi;001090935-01;;5065.09
218903821;2049;01/04/2014;4271.85;72;1;321.00;0;0.01;0;TRIMESTRE;NON;NON;0.00;E154M131262;18;0;ADM COMMUNE DE SEIGNELAY;Franfi;001139186-00;;4699.8
722062122;6657;01/04/2015;6370.64;63;1;360.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8B4Y03881;18;0;SAS MULTIVAC FRANCE;Franfi;001298133-00;;6835.48
394290720;6590;01/07/2015;7295.04;60;1;429.60;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MC33008;18;0;SARL YONNE REFRIGERATION;Franfi;001299534-00;;7807.1
330728403;5903;01/04/2015;4320.75;63;1;249.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;7562239472WRX;18;0;SAS BIRO FRANCE;Franfi;001285881-00;;4705.52
501581730;7371;01/07/2015;5735.27;60;1;337.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LDH4Z26723;18;0;SARL SNBL;Franfi;001316233-00;;6138.46
383480407;5442;01/04/2015;5291.18;63;1;299.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MA32902;18;0;SAS SOREAL NUTRITION ANIMALE;Franfi;001286597-00;;5677.38
218900504;6359;01/04/2015;5856.34;63;1;330.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD5230230;18;0;MAIR COMMUNE DE BONNARD;Franfi;001295928-00;;6311.24
705780666;4819;01/04/2015;12819.67;63;1;734.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;V1S4837706;18;0;SA BRENNUS HABITAT;Franfi;001281589-00;;13453.67
705780666;17127;01/04/2017;30476.8;39;1;2 542.98;0;1.00;0;TRIMESTRE;NON;NON;87.02;G697M230116;18;0;SA BRENNUS HABITAT;Franfi;001452485-00;;31314.53
950003830;3661;01/04/2015;7432.4;63;1;548.12;0;1.00;0;TRIMESTRE;OUI;NON;0.00;E154MA20283;18;0;SARL ENTREPRISE LAPIED;Franfi;001289095-00;;7974.6
784989972;6287;01/04/2015;4060.47;63;1;234.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Z27108;18;0;SARL GOIMBAULT;Franfi;001292510-00;;4443.35
440638690;6481;01/04/2015;5485.84;63;1;310.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;BABH0783;18;0;SAS CLIMAIRTEC;Franfi;001292531-00;;5886.22
483461604;6374;01/04/2015;8439.08;63;1;480.00;0;1.00;0;MOIS;NON;NON;0.00;E154MC30743;18;0;M. DANIEL REVELLAT;Franfi;001292558-00;;9082.57
509514204;6173;01/04/2015;6830.74;63;1;385.65;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MC30127;18;0;SARL AGENCE CHAIGNEAU;Franfi;001296493-00;;7346.7
430242495;6461;01/04/2015;4893.36;63;1;282.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MB32546;18;0;GAEC DOMAINE DE LA MEULIERE;Franfi;001297869-00;;5367.5
198907891;7425;01/07/2015;1499.51;60;1;93.15;0;1.00;0;TRIMESTRE;NON;NON;0.00;LS65308569;18;0;COLL COLLEGE PAUL BERT;Franfi;001305671-00;;1709.01
302486279;6996;01/07/2015;9367.33;60;1;185.00;0;1.00;0;MOIS;NON;NON;0.00;E155M230253;18;0;MR FRANCOIS THEIMER;Franfi;001313561-00;;10075.1
344619630;7863;01/07/2015;6637.25;60;1;390.00;0;1.00;0;TRIMESTRE;NON;NON;36.51;E155M333790;18;0;SAS LIBRAIRIE VOILOOT;Franfi;001316463-00;;7103.73
799498522;18503;01/07/2017;4506;36;1;420.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;W2S6Z10612;18;0;EURL ENTREPRISE LOPES VIEIRA;Franfi;001457313-00;;4777.04
339549933;5911;01/04/2015;5149.61;63;1;291.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Z26678;18;0;EURL YLTEC;Franfi;001289983-00;;5525.5
778151241;4822;01/04/2015;29002.45;63;1;1 520.00;0;1.00;0;TRIMESTRE;NON;NON;73.02;L8B4Y03880;18;0;SASU FRIGINOX;Franfi;001282295-00;;30373.98
316263029;19469;01/07/2017;6672.96;39;1;570.00;0;1.00;0;TRIMESTRE;NON;NON;40.21;75287110110MZ;18;0;SASU ST GOBAIN CRISTAUX DETECT;Franfi;001471782-00;;7015.59
435408935;16835;01/10/2017;2333.27;36;1;220.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;V9323703836;18;0;SARL CEHISA FRANCE;Franfi;001480407-00;;2511.44
340613314;7804;01/07/2015;3128.88;63;1;180.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;W795P404324;18;0;SARL FOURNIL 77;Franfi;001315099-00;;3426.36
970202669;5776;01/07/2015;10272.84;63;1;580.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MC33774;18;0;SAS ETABLISSEMENTS GODIN;Franfi;001295728-00;;11012.23
324919505;8836;01/10/2015;8065.15;60;1;471.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E155M620725;18;0;ASSC SECOURS POPULAIRE FRANCAI;Franfi;001333908-00;;8551.57
479401150;3649;01/07/2015;8735.89;63;1;344.86;0;1.00;0;TRIMESTRE;NON;NON;0.00;7562469474PDZ;18;0;SARL AUTOMOBILE CDR;Franfi;001290012-00;;9373.05
384238465;5705;01/07/2015;10325.98;63;1;583.00;0;1.00;0;TRIMESTRE;NON;NON;111.03;LCA4Z09547;18;0;SARL FRANCILIENNE DE FORMATION;Franfi;001290914-00;;11069.18
350109229;6597;01/07/2015;17735.86;63;1;976.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;R4267572;18;0;SA C.F.H;Franfi;001295874-00;;18530.37
494586688;6471;01/07/2015;11001.16;63;1;602.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E154MC33804;18;0;SARL FASYL IMMOBILIER;Franfi;001298076-00;;11628.63
268900214;6530;01/07/2015;7613.21;63;1;145.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E155M133103;18;0;ADM EHPAD LES HORTENSIAS;Franfi;001299845-00;;8224.13
353084395;6803;01/07/2015;6636.07;63;1;375.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Y25100;18;0;ASSC DEP AIDE VICTIMES INFRAC ;Franfi;001300311-00;;7120.26
412477051;5637;01/07/2015;6105.19;63;1;345.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Y24541;18;0;SARL LE DOMAINE DES CHENES ROU;Franfi;001301659-00;;6566.44
218900884;7388;01/07/2015;3337.47;63;1;193.92;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Z26734;18;0;MAIR COMMUNE DE CHASSY;Franfi;001307011-00;;3717.99
257705665;7458;01/07/2015;1740.9;63;1;104.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LBC5322981;18;0;COLL S.I. DES ECOLES DE PA. LU;Franfi;001308812-00;;1994.35
