siren;siret
318133154;31813315400019
428779557;42877955700019
332376003;33237600300023
314925892;31492589200031
484859038;48485903800032
622980019;62298001900013
327204624;32720462400024
433652864;43365286400334
642980031;64298003100032
443447222;44344722200011
343764627;34376462700018
439918004;43991800400029
437080948;43708094800015
433361987;43336198700012
805183506;80518350600015
442614194;44261419400011
332290386;33229038600033
328024187;32802418700028
348007147;34800714700021
300427937;30042793700010
421128620;42112862000018
301921201;30192120100028
304103757;30410375700015
309232684;30923268400022
906820105;90682010500037
308065507;30806550700011
321152506;32115250600044
436180582;43618058200021
777345539;77734553900020
317823060;31782306000023
347681074;34768107400055
419858618;41985861800012
325567782;32556778200017
383831773;38383177300015
339390734;33939073400012
310046610;31004661000013
338316599;33831659900012
312494412;31249441200025
524493731;52449373100011
315681791;31568179100028
387670136;38767013600051
338495617;33849561700031
437080310;43708031000026
326981560;32698156000013
602980369;60298036900014
384921581;38492158100029
338580954;33858095400034
343973624;34397362400020
435781216;43578121600021
345150387;34515038700016
435580477;43558047700105
345078414;34507841400017
448412221;44841222100013
320861131;32086113100029
317613602;31761360200026
775573066;77557306600039
313987307;31398730700029
971801931;97180193100082
354058240;35405824000038
320707268;32070726800035
302558622;30255862200015
300427929;30042792900033
302117023;30211702300028
305689895;30568989500012
344095260;34409526000032
352645501;35264550100573
380096313;38009631300032
332110097;33211009700166
520268764;52026876400013
311031199;31103119900020
447947730;44794773000019
320888324;32088832400037
969510197;96951019700102
604501114;60450111400036
395172489;39517248900027
519143283;51914328300025
437380181;43738018100036
775553332;77555333200013
324429596;32442959600111
436580286;43658028600025
950410472;95041047200027
453414070;45341407000012
386420384;38642038400029
401402466;40140246600015
386820369;38682036900026
386520159;38652015900040
344981055;34498105500025
436980700;43698070000054
403607179;40360717900021
453150708;45315070800023
439713801;43971380100025
409459229;40945922900012
315332627;31533262700027
339237794;33923779400054
386220065;38622006500034
391327830;39132783000025
312108830;31210883000026
318585023;31858502300019
345052286;34505228600027
493425243;49342524300026
320749997;32074999700187
441557790;44155779000017
351500574;35150057400022
435880505;43588050500050
386420194;38642019400048
333938728;33393872800040
330665134;33066513400020
336320072;33632007200042
398253427;39825342700015
378389340;37838934000019
492332002;49233200200020
384413357;38441335700029
403140452;40314045200018
320915168;32091516800027
324344837;32434483700012
315681890;31568189000010
300434453;30043445300035
323244459;32324445900034
328358940;32835894000018
412532905;41253290500046
441914322;44191432200033
306978610;30697861000021
212603294;21260329400027
212603120;21260312000040
212603054;21260305400041
212603013;21260301300013
252601661;25260166100017
212603567;21260356700018
523922904;52392290400017
212601553;21260155300028
212601942;21260194200049
212601728;21260172800026
212601389;21260138900027
212602718;21260271800067
212603484;21260348400016
212603211;21260321100021
212602726;21260272600037
212602734;21260273400031
212601496;21260149600079
212603252;21260325200124
212601769;21260176900020
212602080;21260208000013
212603112;21260311200013
212603674;21260367400012
212602205;21260220500016
212602189;21260218900012
212601074;21260107400041
212600522;21260052200024
212600332;21260033200028
212600399;21260039900035
212601009;21260100900013
212602478;21260247800043
212602403;21260240300033
212601660;21260166000013
212601454;21260145400011
212601488;21260148800092
212600720;21260072000016
212601181;21260118100028
212600928;21260092800023
212600795;21260079500067
212600357;21260035700017
212600415;21260041500039
212600837;21260083700034
212601066;21260106600013
212600100;21260010000094
212601132;21260113200096
212600886;21260088600015
212600571;21260057100013
212600316;21260031600013
212600217;21260021700021
212600092;21260009200010
212600324;21260032400025
212601983;21260198300316
212603732;21260373200026
212603377;21260337700053
212602163;21260216300082
212603526;21260352600014
212603104;21260310400010
212602197;21260219700056
212601108;21260110800039
212603229;21260322900015
212600142;21260014200047
212603609;21260360900026
210700191;21070019100237
210700555;21070055500043
210700597;21070059700011
210703179;21070317900023
210703237;21070323700037
210703286;21070328600026
210703302;21070330200070
210703492;21070349200129
210701132;21070113200016
210701330;21070133000040
210701405;21070140500024
210701918;21070191800018
210702288;21070228800015
210702403;21070240300010
210702684;21070268400056
210702932;21070293200026
210702791;21070279100026
212602817;21260281700018
210701983;21070198300061
250702032;25070203200013
210700324;21070032400028
210702254;21070225400017
210700415;21070041500016
210703468;21070346800079
210703195;21070319500185
210703419;21070341900056
210700761;21070076100054
210700233;21070023300021
210702411;21070241100021
210701223;21070122300013
210701165;21070116500016
210703310;21070331000065
210703021;21070302100035
210700662;21070066200021
210702593;21070259300018
210701827;21070182700037
210701579;21070157900042
210701777;21070177700018
210700407;21070040700039
210700688;21070068800018
779394329;77939432900014
379668619;37966861900016
342678117;34267811700017
353616048;35361604800016
333336535;33333653500021
442421665;44242166500013
436880132;43688013200010
388323149;38832314900012
449138858;44913885800013
349350298;34935029800015
302304068;30230406800208
493897029;49389702900010
302069588;30206958800010
339840662;33984066200029
339713836;33971383600023
323887091;32388709100011
316671825;31667182500016
437280100;43728010000037
997020011;99702001100018
388131799;38813179900024
413386806;41338680600025
380399030;38039903000010
437080369;43708036900048
326603545;32660354500012
344364237;34436423700018
435580808;43558080800028
402200562;40220056200013
775572878;77557287800046
424701100;42470110000028
449433572;44943357200012
753253921;75325392100021
387823610;38782361000044
317923761;31792376100041
452061906;45206190600015
252600853;25260085300011
384930681;38493068100018
522153097;52215309700012
443094065;44309406500044
308648393;30864839300012
349886903;34988690300013
252601026;25260102600021
342301009;34230100900029
444153563;44415356300010
343189338;34318933800068
351853403;35185340300019
348133851;34813385100025
779451962;77945196200038
437390024;43739002400010
192600302;19260030200017
435782172;43578217200017
398877050;39887705000029
402370472;40237047200035
192600310;19260031000010
242600567;24260056700026
409011640;40901164000029
429435274;42943527400015
326274040;32627404000020
303336234;30333623400024
311675664;31167566400024
435480405;43548040500040
262600083;26260008300014
192607919;19260791900029
328276555;32827655500013
319883872;31988387200065
458502838;45850283800071
776277717;77627771700026
776277725;77627772500011
306063199;30606319900088
453540809;45354080900010
190700310;19070031000013
334738630;33473863000022
210700100;21070010000014
776229015;77622901500016
313401531;31340153100022
308077809;30807780900025
481011427;48101142700012
776277733;77627773300015
343651469;34365146900045
307112920;30711292000045
348015603;34801560300023
702029976;70202997600058
400213179;40021317900015
334687126;33468712600022
393908082;39390808200018
328551262;32855126200012
501607865;50160786500018
510570591;51057059100014
338192586;33819258600026
512287210;51228721000011
776261711;77626171100027
491376240;49137624000017
403944523;40394452300030
776282949;77628294900010
587250028;58725002800012
392462685;39246268500018
776283202;77628320200070
351543848;35154384800011
340341171;34034117100015
421347006;42134700600080
450612437;45061243700019
325860047;32586004700027
491592762;49159276200018
260700414;260700414
444729800;44472980000011
190708727;19070872700010
333613115;33361311500042
329021315;32902131500026
776282386;77628238600015
340447390;34044739000022
403658248;40365824800014
438376022;43837602200010
392916235;39291623500030
789135852;78913585200026
322106873;32210687300019
210702049;21070204900094
327214995;32721499500059
444747042;44474704200018
377536040;37753604000019
444119333;44411933300011
387220239;38722023900017
343756904;34375690400011
380341024;38034102400012
304263700;30426370000029
339247330;33924733000014
378363865;37836386500015
776236283;77623628300011
387930795;38793079500019
341909265;34190926500025
490135431;49013543100016
433482304;43348230400014
444996268;44499626800025
385620307;38562030700038
328543616;32854361600010
210700852;21070085200028
210702122;21070212200016
210702320;21070232000024
210700795;21070079500052
210701140;21070114000043
210701611;21070161100043
210701215;21070121500019
530091958;53009195800013
210700456;21070045600051
210702973;21070297300038
210701926;21070192600011
210700548;21070054800014
210702676;21070267600052
210701959;21070195900038
210702163;21070216300028
210700951;21070095100036
210702023;21070202300024
210700019;21070001900024
210701504;21070150400024
210702767;21070276700026
210702486;21070248600031
210703070;21070307000024
214302002;21430200200016
214300246;21430024600052
214301426;21430142600018
214301996;21430199600028
214300980;21430098000031
210701660;21070166000016
220700017;22070001700019
339990046;33999004600015
214301301;21430130100021
210702494;21070249400035
392001046;39200104600029
343906392;34390639200059
401785589;40178558900011
779470020;77947002000024
794950949;79495094900014
303507321;30350732100014
779401249;77940124900023
801369018;80136901800016
262600067;26260006700264
260711148;26071114800015
775633308;77563330800058
260700117;26070011700013
412650012;41265001200013
260700232;26070023200010
260700216;26070021600021
798220455;79822045500017
200011385;20001138500016
260700083;26070008300017
260700158;26070015800058
339268211;33926821100036
262600141;26260014100010
483234910;48323491000022
192600377;19260037700019
192601169;19260116900019
776275448;77627544800012
776234098;77623409800015
190709162;19070916200019
776229023;77622902300010
779404987;77940498700025
192610343;19261034300019
192610327;19261032700012
527677520;52767752000019
192601177;19260117700012
190708461;19070846100016
190700120;19070012000016
192600328;19260032800012
779409622;77940962200023
380832154;38083215400021
429254964;42925496400027
779427947;77942794700030
801233925;80123392500032
478407505;47840750500013
194308201;19430820100012
393824727;39382472700027
428965701;42896570100017
[NULL];[NULL]
338575517;33857551700010
190700245;19070024500011
652044249;65204424900066
242600385;24260038500015
317442176;31744217600127
775573413;77557341300041
182630012;18263001200017
389783960;38978396000062
182610014;18261001400017
492977566;49297756600024
340737451;34073745100013
779472000;77947200000024
172603714;17260371400012
775573397;77557339700061
437380421;43738042100010
499120301;49912030100019
485172977;48517297700012
632980272;63298027200025
192600195;19260019500015
301169546;30116954600027
210702312;21070231200021
529529612;52952961200028
491034286;49103428600014
320973555;32097355500040
336720107;33672010700018
310187083;31018708300046
498019827;49801982700019
538727173;53872717300014
320664378;32066437800017
347919375;34791937500027
702980202;70298020200015
333046712;33304671200027
210700696;21070069600029
210700142;21070014200024
260711049;26071104900023
501213565;50121356500044
335920328;33592032800010
403293582;40329358200017
340275403;34027540300020
212602932;21260293200015
212601918;21260191800015
212601025;21260102500019
212600589;21260058900015
210700035;21070003500020
210700134;21070013400013
210700241;21070024100024
210700290;21070029000039
210700308;21070030800021
210700498;21070049800012
210700647;21070064700014
210700738;21070073800037
210700787;21070078700018
210700811;21070081100024
210701017;21070101700027
210701033;21070103300016
210701074;21070107400028
210701272;21070127200010
210701298;21070129800072
210701454;21070145400048
210702361;21070236100069
210702387;21070238700015
210701538;21070153800030
210701561;21070156100016
210701629;21070162900011
210701678;21070167800026
210701710;21070171000019
210701769;21070176900049
210701785;21070178500029
210702445;21070244500045
210701868;21070186800015
210702528;21070252800014
210701967;21070196700023
210702106;21070210600027
210702189;21070218900031
210703039;21070303900037
210703153;21070315300028
210703344;21070334400015
210703351;21070335100028
210703377;21070337700015
210702999;21070299900025
301865630;30186563000034
317049773;31704977300029
190708495;19070849500014
260700356;26070035600025
784145302;78414530200013
212602528;21260252800094
327461083;32746108300013
436380133;43638013300021
428764500;42876450000289
336420187;33642018700096
342640638;34264063800041
319200721;31920072100011
437181076;43718107600013
380295477;38029547700034
537468803;53746880300029
504807397;50480739700022
489304535;48930453500029
390441533;39044153300028
436580229;43658022900025
435480546;43548054600108
322546672;32254667200039
214302366;21430236600015
383660651;38366065100019
336820071;33682007100015
429543390;42954339000034
349859900;34985990000038
436780548;43678054800042
419539465;41953946500056
315588012;31558801200130
776245169;77624516900011
422539007;42253900700019
350726386;35072638600039
351554027;35155402700018
388294449;38829444900011
170704316;17070431600018
312706757;31270675700035
353588346;35358834600018
392180022;39218002200031
303409742;30340974200135
399446657;39944665700021
339991713;33999171300027
586650467;58665046700010
351354717;35135471700024
434670964;43467096400023
352602114;35260211400055
342766458;34276645800018
301276127;30127612700075
388859209;38885920900057
504093030;50409303000014
392757977;39275797700039
180720013;18072001300036
350078606;35007860600018
779456367;77945636700019
335620282;33562028200012
437281280;43728128000010
172600017;17260001700013
775642317;77564231700041
214301418;21430141800049
437070741;43707074100040
341030740;34103074000037
351379417;35137941700048
303860720;30386072000018
401493630;40149363000032
301466272;30146627200038
333285161;33328516100019
330053745;33005374500064
401777289;40177728900018
517809620;51780962000019
389530403;38953040300028
779471713;77947171300023
800532046;80053204600011
347990970;34799097000035
130012503;13001250300012
779470004;77947000400051
383687126;38368712600011
328128673;32812867300048
344472246;34447224600075
305036543;30503654300059
353080518;35308051800015
533452678;53345267800014
350266375;35026637500020
302590898;30259089800441
750166613;75016661300018
776265340;77626534000013
210702379;21070237900020
448967430;44896743000027
401412325;40141232500011
484045414;48404541400014
779123488;77912348800024
334299344;33429934400013
317495679;31749567900019
449314491;44931449100019
212603336;21260333600141
436580070;43658007000023
334956570;33495657000025
340935873;34093587300034
435480520;43548052000012
414068072;41406807200019
344343124;34434312400014
414055434;41405543400024
302098462;30209846200047
380295261;38029526100024
311129126;31112912600026
779410851;77941085100033
383122512;38312251200015
387220106;38722010600026
308065499;30806549900052
436480172;43648017200044
380912279;38091227900011
309359511;30935951100040
779448604;77944860400016
347529059;34752905900011
307213876;30721387600021
60502069;6050206900028
401441621;40144162100026
378823462;37882346200031
[NULL];[NULL]
435880976;43588097600012
390328029;39032802900033
509210340;50921034000030
513567198;51356719800017
200046324;20004632400014
383462819;38346281900012
388551004;38855100400038
391861069;39186106900022
387559099;38755909900040
280712001;28071200100013
321637829;32163782900045
415144062;41514406200015
180710014;18071001400010
242600534;24260053400034
212601082;21260108200119
301169736;30116973600016
314036898;31403689800018
322903816;32290381600021
776258261;77625826100036
322938887;32293888700047
308529478;30852947800023
408882496;40888249600024
395372998;39537299800025
452574890;45257489000029
393930516;39393051600041
409561834;40956183400022
436380323;43638032300010
445319452;44531945200014
448001859;44800185900025
329153167;32915316700021
383754660;38375466000033
487491607;48749160700015
500039367;50003936700015
411375876;41137587600017
332628767;33262876700011
436380406;43638040600070
779470293;77947029300019
411445620;41144562000049
353408172;35340817200016
423194562;42319456200041
339786816;33978681600035
403178791;40317879100030
305933004;30593300400213
220700017;22070001700019
356000828;35600082819059
410866396;41086639600022
398380154;39838015400029
210701512;21070151200043
415102565;41510256500025
309868149;30986814900753
437280746;43728074600029
303436729;30343672900030
338446800;33844680000025
339599516;33959951600012
779472315;77947231500109
779471762;77947176200020
344239868;34423986800013
300489697;30048969700023
200046324;20004632400014
779449032;77944903200159
421222571;42122257100018
390923415;39092341500033
353282106;35328210600015
521070557;52107055700017
172600017;17260001700013
200041044;20004104400013
442874392;44287439200016
316466481;31646648100017
393145644;39314564400034
304202625;30420262500022
192601136;19260113600018
775672272;77567227222078
390662393;39066239300029
315212035;31521203500036
350719753;35071975300021
521296152;52129615200015
402550784;40255078400019
410646194;41064619400077
632980157;63298015700010
398741777;39874177700013
437080344;43708034400017
330181728;33018172800057
54800958;5480095853684
317803096;31780309600021
521378125;52137812500012
779470566;77947056600018
775688732;77568873208403
779422203;77942220300066
309844256;30984425600037
404997892;40499789200025
950408575;95040857500013
519746515;51974651500013
435881222;43588122200036
330840752;33084075200027
212600464;21260046400011
344400866;34440086600028
192600062;19260006200017
306880196;30688019600036
400298790;40029879000025
776272114;77627211400013
779472281;77947228100087
399786227;39978622700039
327195103;32719510300012
391239084;39123908400018
334192234;33419223400014
332468958;33246895800035
352443444;35244344400026
413181603;41318160300015
438554172;43855417200017
779472190;77947219000023
260700018;26070001800088
212603070;21260307000070
391427721;39142772100017
210700266;21070026600047
210700373;21070037300058
440555696;44055569600010
776261539;77626153900014
378865695;37886569500019
210702247;21070224700037
349347112;34934711200014
779473156;77947315600015
956508469;95650846900106
521895169;52189516900014
503779332;50377933200017
384096301;38409630100021
662043116;66204311600240
514143056;51414305600018
320720576;32072057600026
388346181;38834618100018
210700027;21070002700027
210702148;21070214800011
210701595;21070159500048
508848637;50884863700015
437852585;43785258500011
308961606;30896160600032
314789025;31478902500017
401710090;40171009000010
330150186;33015018600014
343513404;34351340400016
423720481;42372048100013
776272429;77627242900023
449385327;44938532700019
440405504;44040550400026
397694795;39769479500014
775571979;77557197900282
343821872;34382187200045
327470746;32747074600048
779444660;77944466000038
401292800;40129280000034
301193439;30119343900017
779472422;77947242200012
410830707;41083070700015
388811184;38881118400026
394232185;39423218500030
394392575;39439257500020
324293307;32429330700033
344195722;34419572200030
329094247;32909424700023
343591533;34359153300025
514188267;51418826700025
435881339;43588133900020
415380708;41538070800016
344755913;34475591300029
378059604;37805960400025
[NULL];[NULL]
402944011;40294401100038
307221507;30722150700055
409407806;40940780600010
435480447;43548044700034
779428150;77942815000055
779472349;77947234900041
210701025;21070102500160
335183836;33518383600022
522005156;52200515600016
381106053;38110605300022
341802544;34180254400054
418846762;41884676200049
407631019;40763101900038
377831474;37783147400020
380950287;38095028700025
389179706;38917970600038
813239878;81323987800016
533836839;53383683900019
531076610;53107661000017
776234080;77623408000021
325739894;32573989400021
190700013;19070001300013
388520223;38852022300016
779398726;77939872600017
403908007;40390800700020
329779102;32977910200030
775672272;77567227207319
190711564;19071156400012
240700666;24070066600011
336720198;33672019800033
418923090;41892309000033
511931719;51193171900013
315796300;31579630000012
382089738;38208973800043
388944514;38894451400040
418260543;41826054300016
324044940;32404494000033
775572951;77557295100017
412649832;41264983200018
440247609;44024760900017
302802699;30280269900017
317884252;31788425200030
309799229;30979922900062
437380843;43738084300031
331965053;33196505300027
498715721;49871572100011
779453331;779453331
779424753;77942475300019
444420830;444420830
435580972;43558097200022
435580667;43558066700010
435580972;43558097200022
522268457;52226845700010
388670374;38867037400031
497869818;49786981800011
480799329;48079932900028
384611778;38461177800026
399796465;39979646500033
436580062;43658006200012
436980775;43698077500015
418705547;418705547
440192482;44019248200014
210700126;21070012600027
210703088;21070308800042
403595663;40359566300028
303265045;30326504500029
415125939;41512593900017
378037949;37803794900021
409046059;40904605900021
390234995;39023499500046
317923779;31792377900027
399796465;39979646500033
332236165;33223616500038
510677958;51067795800017
401543533;40154353300038
340150127;34015012700033
330540832;33054083200046
508710258;50871025800015
776273914;77627391400015
388939480;38893948000017
388939480;38893948000017
379774516;37977451600015
776267544;77626754400018
808135511;80813551100018
379774839;37977483900011
325739894;32573989400013
776248916;77624891600012
323024554;32302455400012
776226250;77622625000012
776236432;77623643200014
310027495;31002749500012
329581524;32958152400017
776228991;77622899100019
403319643;40331964300025
422779108;42277910800014
412439291;41243929100011
329142152;32914215200019
421224270;42122427000049
326965191;32696519100017
408193639;40819363900015
493983738;49398373800011
200002384;20000238400010
393669833;39366983300013
381537836;38153783600102
383096211;38309621100016
450415021;45041502100010
307638866;30763886600045
393336342;39333634200026
379763733;37976373300027
311535322;31153532200045
329476097;32947609700020
324700947;32470094700017
324458256;32445825600058
325732014;32573201400056
317305183;31730518300038
495402372;49540237200017
779470269;77947026900019
437381387;43738138700012
353831894;35383189400046
403036684;40303668400013
397747569;39774756900010
441169364;44116936400029
452015761;45201576100011
350688305;35068830500019
332318658;33231865800017
539992750;53999275000015
341204758;34120475800021
382890143;38289014300011
351787833;35178783300018
350640215;35064021500025
431400696;43140069600016
341611887;34161188700017
402712509;40271250900015
452176514;45217651400027
871500930;87150093000064
384180899;38418089900021
436280432;43628043200028
397634783;39763478300013
402362198;40236219800036
437280753;43728075300033
443094065;44309406500028
510150139;51015013900010
430169201;43016920100018
412210379;41221037900019
380275834;38027583400030
210700621;21070062100019
382599512;38259951200011
353433782;35343378200029
210701157;21070115700013
779412428;77941242800020
779413475;77941347500012
532117892;53211789200010
415304096;41530409600019
508519998;50851999800019
390949568;39094956800039
334213733;33421373300010
779405018;77940501800036
411006208;41100620800028
326991783;32699178300035
419843172;41984317200018
421063249;42106324900039
378642813;37864281300067
430253914;43025391400013
409959020;40995902000069
326203247;326203247
401620406;40162040600025
413983370;41398337000078
212603054;21260305400025
212601660;21260166000039
411305774;41130577400027
562980128;56298012800010
326159761;32615976100021
411005598;41100559800023
392581666;39258166600014
421637273;42163727300010
250702388;25070238800027
379198963;37919896300025
480011170;48001117000010
436480628;43648062800029
210700829;21070082900026
377689336;37768933600016
213800519;21380051900018
405198169;40519816900014
384075495;38407549500018
72500077;7250007700028
401495189;40149518900029
304839830;30483983000029
613680305;61368030500018
603680059;60368005900012
332946201;33294620100040
414018242;41401824200019
573680444;57368044400045
633680525;63368052500019
343042982;34304298200029
334111572;33411157200023
318148053;31814805300057
348860743;34886074300015
338185762;33818576200071
389998501;38999850100016
391858065;39185806500017
613680032;61368003200026
321918849;32191884900043
300530516;30053051600032
317923266;31792326600017
390736171;39073617100013
622044527;62204452700068
326590379;32659037900029
693680076;69368007600025
387620552;38762055200027
302331814;30233181400012
317823029;31782302900010
327956611;32795661100013
332024520;33202452000014
713680015;71368001500029
213803539;21380353900039
419839998;41983999800012
779579168;77957916800013
383492402;38349240200011
301294658;30129465800028
243800778;24380077800066
788396117;78839611700012
404956096;40495609600014
519997829;51999782900014
345234801;34523480100016
311820658;31182065800038
213800725;21380072500045
414884288;41488428800013
341089068;34108906800025
334593191;33459319100045
263800328;26380032800019
341011591;34101159100029
408566040;40856604000023
323325902;32332590200019
213804842;21380484200010
213801079;21380107900012
388227175;38822717500022
309113496;30911349600017
213804594;21380459400033
387627599;38762759900013
779481720;77948172000026
779638592;77963859200047
326578333;32657833300279
338570773;33857077300022
252602065;25260206500010
343058046;34305804600024
210702866;21070286600018
440590198;44059019800014
421431933;42143193300033
418397055;41839705500025
429902216;42990221600010
392758520;39275852000010
320302102;32030210200027
775573447;77557344700098
349993535;34999353500013
335920229;33592022900036
401729728;40172972800014
788058030;78805803001808
338063092;33806309200039
327359980;32735998000932
420610438;42061043800053
498967371;49896737100010
329414924;32941492400012
398429936;39842993600022
260700067;26070006700028
351122528;35112252800026
317270684;31727068400010
240700674;24070067400049
306866310;30686631000064
417676814;41767681400037
379381221;37938122100033
200040491;20004049100017
495051864;49505186400025
379678444;37967844400017
351040340;35104034000017
338492507;33849250700011
410715726;41071572600015
383521119;38352111900016
417579893;41757989300013
405319971;40531997100074
212601215;21260121500024
394011449;39401144900029
242600252;24260025200041
788162444;78816244400046
485374326;48537432600018
776233702;77623370200013
200001642;20000164200038
378738041;37873804100052
240700864;24070086400020
250700440;25070044000028
390463289;39046328900020
428121768;42812176800025
398806737;39880673700027
325855500;32585550000022
481079036;48107903600010
380763102;38076310200031
413842451;41384245100010
382863785;38286378500012
400418117;40041811700018
791155450;79115545000012
334114220;33411422000042
385186614;38518661400025
306018417;30601841700023
