siren;siret
808938153;80893815300018
130003619;13000361900025
192607919;19260791900029
197525512;19752551200012
130002454;13000245400010
197523186;19752318600017
197534720;19753472000010
199106329;19910632900014
197711716;19771171600013
199206806;19920680600010
199109711;19910971100010
199313883;19931388300027
199410234;19941023400017
199321191;19932119100017
199410937;19941093700015
212700678;21270067800015
219300332;21930033200018
219200722;21920072200011
259400778;25940077800017
229740014;22974001401447
279300081;27930008100015
300513033;30051303300575
301293502;30129350200045
301619144;30161914400027
301500104;30150010400015
301364824;30136482400641
302484993;30248499300035
302980081;30298008100012
303655393;30365539300039
303724959;30372495900034
304097744;30409774400011
305097420;30509742000031
305442501;30544250100030
308426709;30842670900025
309623932;30962393200014
309785533;30978553300022
309552008;30955200800075
305691149;30569114900143
309954279;30995427900027
310653175;31065317500037
310370887;31037088700070
312665318;31266531800027
312235708;31223570800012
313150393;31315039300038
315310052;31531005200024
314283128;31428312800044
316449644;31644964400012
315459016;31545901600046
316314343;31631434300062
316829134;31682913400030
316943489;31694348900070
319537791;31953779100059
319375010;31937501000026
318843463;31884346300015
317978690;31797869000038
319224820;31922482000062
318246899;31824689900864
321669558;32166955800033
322315359;32231535900040
321827040;32182704000056
320016363;32001636300030
320116916;32011691600018
320442122;32044212200059
323287482;32328748200059
323564625;32356462500040
323540914;32354091400013
323775569;32377556900060
323690198;32369019800037
323592816;32359281600025
324082965;32408296500025
326398674;32639867400068
325032878;32503287800028
324803915;32480391500077
325951937;32595193700045
326502770;32650277000034
326594462;32659446200045
327192449;32719244900012
327828695;32782869500038
327708020;32770802000059
326911864;32691186400022
326737574;32673757400052
327844130;32784413000028
328014444;32801444400017
328319041;32831904100138
328847389;32884738900025
328526553;32852655300057
328582598;32858259800046
329524177;32952417700014
329178842;32917884200087
329935944;32993594400036
330074063;33007406300018
330285255;33028525500023
330076159;33007615900079
331565184;33156518400040
333905297;33390529700029
334349446;33434944600016
331147439;33114743900037
330395286;33039528600025
331348615;33134861500013
332701655;33270165500125
333544153;33354415300302
335044236;33504423600016
335348322;33534832200041
337648174;33764817400049
337634976;33763497600027
338054497;33805449700031
338221567;33822156700054
338312176;33831217600021
339794794;33979479400042
338688856;33868885600057
340081462;34008146200061
340623396;34062339600033
340671932;34067193200010
340757822;34075782200028
341120111;34112011100016
341006310;34100631000179
341193464;34119346400029
341547727;34154772700030
342121183;34212118300038
342486289;34248628900024
342136710;34213671000015
342176161;34217616100079
343306510;34330651000060
343659066;34365906600025
343836870;34383687000026
343869327;34386932700050
345053417;34505341700019
348537820;34853782000022
348302670;34830267000032
348983842;34898384200082
349685156;34968515600037
349172759;34917275900038
349910414;34991041400037
350403820;35040382000037
352200752;35220075200025
350779591;35077959100022
350718573;35071857300016
352500755;35250075500033
352532774;35253277400028
352700207;35270020700017
352599526;35259952600030
352892814;35289281400018
353018849;35301884900011
352601546;35260154600257
353330483;35333048300044
378950760;37895076000041
378237408;37823740800026
353480031;35348003100031
353560063;35356006300094
353238520;35323852000350
380792689;38079268900024
379833452;37983345200079
380903815;38090381500039
380952747;38095274700026
381066695;38106669500044
380827204;38082720400252
381130640;38113064000042
381225812;38122581200050
381228386;38122838600102
381959527;38195952700023
382177574;38217757400029
382387546;38238754600023
381540277;38154027700179
382697563;38269756300049
383213311;38321331100046
382956514;38295651400105
384107520;38410752000080
384265989;38426598900010
383974086;38397408600019
384626297;38462629700020
384744603;38474460300034
384845772;38484577200035
384906541;38490654100055
385332929;38533292900020
385055041;38505504100060
387760549;38776054900015
388265241;38826524100017
388265241;38826524100025
387978356;38797835600021
389275454;38927545400038
389394560;38939456000020
390151496;39015149600036
390898468;39089846800041
390998086;39099808600040
391056116;39105611600026
391146057;39114605700057
391548666;39154866600018
391325065;39132506500020
391720067;39172006700035
391735651;39173565100047
392050290;39205029000031
391683240;39168324000082
394220420;39422042000027
392975579;39297557900021
394107767;39410776700045
394232300;39423230000050
393882253;39388225300015
397872367;39787236700057
398833079;39883307900047
400608741;40060874100015
400024378;40002437800053
400274882;40027488200085
399507474;39950747400027
400646311;40064631100052
401344908;40134490800041
401380217;40138021700034
401635263;40163526300023
401947122;40194712200057
403500283;40350028300060
403526668;40352666800021
402878904;40287890400026
403704174;40370417400040
404164360;40416436000020
404836462;40483646200014
408082360;40808236000020
405321456;40532145600015
405042359;40504235900035
408743656;40874365600022
411062789;41106278900036
411502586;41150258600034
411356132;41135613200026
411786981;41178698100042
411590920;41159092000038
411770498;41177049800037
413738865;41373886500018
412668758;41266875800029
412806937;41280693700063
413514472;41351447200039
414740852;41474085200010
414620567;41462056700027
414709014;41470901400016
417525078;41752507800107
414999599;41499959900031
417571064;41757106400035
418103107;41810310700029
418193074;41819307400014
418213831;41821383100070
418344388;41834438800032
418347563;41834756300011
418493433;41849343300076
419604475;41960447500014
419739677;41973967700039
419878087;41987808700016
419769518;41976951800020
420624777;42062477700090
420619439;42061943900037
420779068;42077906800048
414354407;41435440700010
421094053;42109405300038
421217639;42121763900051
421761438;42176143800033
423124411;42312441100020
422572743;42257274300017
422489526;42248952600034
423479112;42347911200017
423823681;42382368100022
423888809;42388880900039
423911106;42391110600049
424435527;42443552700017
424720936;42472093600055
427994629;42799462900017
424327492;42432749200221
429595481;42959548100061
428895122;42889512200011
429701659;42970165900022
429774219;42977421900092
429878879;42987887900015
431192210;43119221000034
430087429;43008742900014
431477033;43147703300044
432537975;43253797500026
432126860;43212686000019
433440484;43344048400031
432766947;43276694701124
433941648;43394164800027
434220182;43422018200019
434420667;43442066700025
434518239;43451823900018
434691358;43469135800049
434702247;43470224700041
435170618;43517061800126
435176946;43517694600042
437576382;43757638200042
438269235;43826923500059
438338386;43833838600040
438386229;43838622900027
438452815;43845281500030
438672610;43867261000039
438890030;43889003000028
438899833;43889983300026
439218827;43921882700038
439530338;43953033800011
440668796;44066879600012
440112605;44011260500017
440668820;44066882000051
443350939;44335093900031
442096343;44209634300029
443971791;44397179100035
443581921;44358192100055
443728431;44372843100018
444024293;44402429300029
444067037;44406703700010
444370035;44437003500024
444386700;44438670000025
444397368;44439736800010
444790281;44479028100018
444452536;44445253600014
445079858;44507985800012
445341902;44534190200028
448205559;44820555900074
448285841;44828584100046
448399634;44839963400030
448582320;44858232000033
448803684;44880368400035
448676619;44867661900019
449044544;44904454400020
449454958;44945495800033
450887872;45088787200023
449473511;44947351100011
450709282;45070928200054
451016786;45101678600019
451070304;45107030400063
450904271;45090427100068
451326961;45132696100039
451449573;45144957300026
451864417;45186441700030
453549909;45354990900068
453860926;45386092600014
453215303;45321530300034
454071267;45407126700032
454087420;45408742000039
478040512;47804051200038
457208619;45720861900074
477900088;47790008800048
477699144;47769914400036
478275175;47827517500030
478785611;47878561100029
478823784;47882378400028
479901266;47990126600029
479291858;47929185800021
479015992;47901599200031
480064369;48006436900022
479345894;47934589400022
480096528;48009652800033
480183771;48018377100017
480391226;48039122600044
480646702;48064670200013
480495423;48049542300042
480495282;48049528200034
480716042;48071604200043
480840560;48084056000043
481181063;48118106300092
481273910;48127391000028
482597382;48259738200035
482042405;48204240500068
483422523;48342252300025
483565727;48356572700037
483537007;48353700700021
482855525;48285552500010
483728127;48372812700026
483632378;48363237800012
484459953;48445995300010
484111273;48411127300039
485080170;48508017000015
485092167;48509216700017
487733081;48773308100045
485364525;48536452500033
487734956;48773495600013
487756868;48775686800013
488325614;48832561400045
488159278;48815927800107
489020602;48902060200046
488500661;48850066100027
488653726;48865372600023
489021907;48902190700022
489273334;48927333400024
489373365;48937336500035
490002003;49000200300054
489590711;48959071100037
490775350;49077535000054
490868015;49086801500010
491041265;49104126500019
491101986;49110198600017
491121968;49112196800011
491864567;49186456700038
492111059;49211105900019
491635421;49163542100028
492321492;49232149200018
492607833;49260783300018
492681069;49268106900018
492842729;49284272900021
492942115;49294211500014
493057475;49305747500029
492960927;49296092700050
493492151;49349215100052
493352090;49335209000010
493778294;49377829400014
494613854;49461385400012
494042864;49404286400038
497523894;49752389400010
497766147;49776614700043
498415488;49841548800010
498419308;49841930800057
498495472;49849547200033
498515121;49851512100032
499262939;49926293900022
498814581;49881458100019
498803485;49880348500024
499890309;49989030900028
499354801;49935480100015
500073259;50007325900029
501629943;50162994300025
501267611;50126761100017
501857510;50185751000025
501408645;50140864500049
502747686;50274768600025
502910110;50291011000019
503408320;50340832000011
503418303;50341830300023
503536914;50353691400016
503667214;50366721400038
504075128;50407512800026
504664715;50466471500027
504512708;50451270800026
504508391;50450839100019
504673849;50467384900023
504746132;50474613200027
504907122;50490712200023
507523256;50752325600042
508237468;50823746800014
507633576;50763357600016
508762416;50876241600016
508799673;50879967300019
508580289;50858028900025
508800000;50880000000038
508908258;50890825800025
509284121;50928412100035
509183562;50918356200016
509128252;50912825200046
509620290;50962029000015
509636072;50963607200019
510690092;51069009200018
510901911;51090191100014
510727936;51072793600021
511251191;51125119100025
512044215;51204421500014
511717787;51171778700010
512548165;51254816500020
512795824;51279582400022
513078808;51307880800013
514559319;51455931900017
514538990;51453899000011
514059054;51405905400015
513771675;51377167500024
515231355;51523135500030
517712709;51771270900016
