siren;siret
482045838;48204583800018
392567475;39256747500034
400807087;40080708700020
482022944;48202294400029
085580488;08558048800881
414815415;41481541500032
438771339;43877133900027
392927828;39292782800021
440297935;44029793500015
379064918;37906491800046
481423994;48142399400039
786390211;78639021100013
391338258;39133825800018
380995555;38099555500014
319130266;31913026600020
478015902;47801590200016
267900512;26790051200018
217901305;21790130500011
330954736;33095473600014
450939152;45093915200028
392268744;39226874400019
304632532;30463253200020
429433238;42943323800012
443598883;44359888300017
323657536;32365753600054
626820161;62682016100034
356000547;35600054705005
312951577;31295157700013
305506727;30550672700018
378717532;37871753200014
775604663;77560466300101
347961641;34796164100037
807411525;80741152500015
335038899;33503889900019
429091457;42909145700011
338116163;33811616300019
780221057;78022105700026
479647240;47964724000031
498535087;49853508700015
456203363;45620336300050
313648214;31364821400028
351183181;35118318100012
775605462;77560546200107
338567258;33856725800425
351660766;35166076600012
450599832;45059983200042
435283338;43528333800307
321656530;32165653000011
786448183;78644818300032
510974793;51097479300018
786446674;78644667400024
505388322;50538832200032
415378249;41537824900148
268501293;26850129300024
547150995;54715099500066
722003936;72200393606115
387913965;38791396500019
342270691;34227069100013
395056310;39505631000158
489101956;48910195600014
786127688;78612768800020
448430413;44843041300022
530380088;53038008800027
802015859;80201585900019
483496592;48349659200013
218502185;21850218500018
418670220;41867022000015
327775524;32777552400025
326097177;32609717700025
334595741;33459574100011
341459790;34145979000059
479964074;47996407400021
429315443;42931544300029
753175223;75317522300027
819891714;81989171400027
381344316;38134431600066
834770687;83477068700012
341050730;34105073000025
452414212;45241421200012
434190021;43419002100015
451701411;45170141100030
319531885;31953188500030
419031208;41903120800012
301634499;30163449900026
422797233;42279723300018
501556021;50155602100027
300912912;30091291200023
491467460;49146746000029
349143743;34914374300012
316126663;31612666300020
382053635;38205363500027
324870336;32487033600017
303571251;30357125100022
316730829;31673082900033
775685621;77568562100200
786022491;78602249100017
786050443;78605044300013
864801584;86480158400011
378557680;37855768000055
402809016;40280901600072
682040837;682040837
329186761;32918676100014
433034782;43303478200030
491598538;49159853800024
309065084;30906508400134
378802664;37880266400029
788354728;78835472800073
302077359;30207735900016
529728313;52972831300014
399846021;39984602100018
339747958;33974795800025
317521136;31752113600034
314849761;31484976100015
667280150;66728015000018
502356660;50235666000022
478881683;47888168300013
417577434;41757743400026
350297032;35029703200038
313966129;31396612900113
428794176;42879417600019
214401200;21440120000016
423746981;42374698100012
775565864;77556586400144
482970225;48297022500017
831737218;83173721800014
817871577;81787157700018
312744832;31274483200089
492429501;49242950100017
449226489;44922648900010
400420667;40042066700034
311716294;31171629400021
217901248;21790124800013
509062501;50906250100010
799056734;79905673400012
217903426;21790342600013
424122349;42412234900022
781410428;78141042800010
380895029;38089502900011
384785093;38478509300020
324044270;32404427000043
433546322;43354632200036
383313947;38331394700012
785948043;78594804300043
424314789;42431478900019
393433925;39343392500012
451034367;45103436700016
214400012;21440001200016
788353548;78835354800019
401808258;40180825800024
352502983;35250298300013
869801142;86980114200017
430047530;43004753000026
390551075;39055107500018
337966840;33796684000023
389850215;38985021500069
440626471;44062647100013
400018834;40001883400038
394780019;39478001900029
300718590;30071859000023
334055902;33405590200046
380713313;38071331300035
391374592;39137459200023
444088009;44408800900030
332908854;33290885400026
[NULL];[NULL]
200052629;20005262900017
[NULL];[NULL]
353899313;35389931300012
390347383;39034738300015
392702676;39270267600017
402236103;40223610300022
353558059;35355805900013
387462468;38746246800027
214402158;21440215800015
318001567;31800156700029
324967165;32496716500014
342270808;34227080800021
342583796;34258379600061
449603687;44960368700012
318622792;31862279200014
217900240;21790024000011
508513785;50851378500016
380349761;38034976100201
392685780;39268578000026
786013029;78601302900016
393175930;39317593000022
413779281;41377928100026
781442371;78144237100014
432279826;43227982600015
775571201;77557120100026
310530498;31053049800024
319311957;31931195700041
340918127;34091812700010
391062577;39106257700013
304300106;30430010600032
413663626;41366362600013
311220354;31122035400048
341174118;34117411800982
415015817;41501581700018
342136462;34213646200047
433098431;43309843100029
782886345;78288634500027
384124582;38412458200014
390790335;39079033500017
343534285;34353428500014
387467152;38746715200014
388577090;38857709000052
443092143;44309214300017
531573921;53157392100024
322164575;32216457500019
393739008;39373900800026
[NULL];[NULL]
194416574;19441657400011
433585510;43358551000020
435180294;43518029400017
388324741;38832474100015
487470346;48747034600015
452631500;45263150000033
381138114;38113811400016
484715891;48471589100038
394106991;39410699100042
334736022;33473602200016
433418373;43341837300018
338679111;33867911100025
412622011;41262201100010
399780873;39978087300044
353181258;35318125800016
489825380;48982538000012
432820843;43282084300022
661780437;66178043700033
821869567;82186956700015
440137982;44013798200052
488186776;48818677600016
801809047;80180904700013
775563190;77556319000260
323790089;32379008900037
818666505;81866650500016
325809812;32580981200028
323712265;32371226500038
380367664;38036766400014
305177545;30517754500137
331952234;33195223400010
311662662;31166266200031
592052302;59205230200276
399750769;39975076900016
338019367;33801936700014
822223129;82222312900013
318406741;31840674100013
384183331;38418333100048
522092246;52209224600019
781452511;78145251103909
391785250;39178525000013
330927476;33092747600011
306321647;30632164700035
377694849;37769484900011
502640204;50264020400025
448465054;44846505400030
351748306;35174830600021
218501104;21850110400044
487481061;48748106100033
254402522;25440252200018
409166840;40916684000028
338424831;33842483100026
775499825;77549982500021
337587067;33758706700014
417592177;41759217700113
393989397;39398939700012
384187647;38418764700019
398986109;39898610900039
313329104;31332910400035
320183619;32018361900024
413382375;41338237500025
338146764;33814676400018
432834398;43283439800021
408542389;40854238900015
444862395;44486239500027
478198369;47819836900017
422874982;42287498200024
781457809;78145780900015
320330012;32033001200032
342856028;34285602800028
443679436;44367943600016
340332527;34033252700027
337616882;33761688200037
422699876;42269987600013
794885913;79488591300010
342466356;34246635600025
378993240;37899324000035
404434136;40443413600028
329666572;32966657200014
775562556;77556255600115
434627766;43462776600026
332484948;33248494800028
452964497;45296449700013
342979853;34297985300013
439229220;43922922000017
400841227;40084122700020
312300106;31230010600019
395010085;39501008500029
397977299;39797729900015
325955920;32595592000021
349929562;34992956200016
320811540;32081154000022
393304647;39330464700034
