siren;siret
403324163;40332416300290
775565088;77556508801197
329480008;32948000800021
[NULL];[NULL]
523445773;52344577300022
417902046;41790204600057
529162018;52916201800038
421693722;42169372200041
325949980;32594998000032
483694329;48369432900028
814070975;81407097500010
514580380;51458038000038
120023015;120023015
130009053;130009053
211100516;21110051600015
402611107;40261110700010
434923686;43492368600019
810607747;81060774700013
776939225;77693922500020
130011042;130011042
173300013;173300013
173301110;173301110
173301201;173301201
180089013;180089013
183300052;183300052
191300128;191300128
191316090;191316090
193300068;193300068
193301421;193301421
193316643;193316643
193317526;193317526
194600201;194600201
198400053;198400053
198700361;198700361
528473010;52847301000049
198706699;198706699
320861818;32086181800039
198706699;198706699A
198706699;198706699B
198706699;198706699C
198706699;198706699D
198706699;198706699E
198706699;198706699F
198706699;198706699G
383129384;38312938400012
539745315;53974531500025
333314987;33331498700020
329426670;32942667000041
198706699;198706699H
198706699;198706699I
198706699;198706699J
198706699;198706699K
198706699;198706699L
199115684;199115684
200013183;200013183
200032324;200032324
200040624;200040624
200063741;200063741
200066512;200066512
200066769;200066769
200070506;200070506
212303606;212303606
212314108;212314108
212318109;212318109
212603575;212603575
213002173;213002173
213300049;213300049
213300353;213300353
312197460;31219746000032
320861818;32086181800187
213300650;213300650
213300973;213300973
213300999;213300999
213301187;213301187
213302110;213302110
213302532;213302532
213302961;213302961
213304785;213304785
214600223;214600223
214600314;214600314
214600512;214600512
214600603;214600603
214601122;214601122
214601148;214601148
214601247;214601247
214601262;214601262
[NULL];[NULL]
[NULL];[NULL]
214601296;214601296
214601361;214601361
214601585;214601585
812261576;81226157600019
086020013;08602001300065
405303439;40530343900013
214601601;214601601
214601650;214601650
214601726;214601726
214601783;214601783
214601932;214601932
214601940;214601940
214602146;214602146
214602401;214602401
214602484;214602484
214602575;214602575
214602633;214602633
214602682;214602682
214602773;214602773
214602856;214602856
214602880;214602880
216600528;216600528
218400281;218400281
218400448;218400448
218401297;218401297
218401396;218401396
218701100;218701100
218705804;218705804
218711208;218711208
218717304;218717304
242320091;242320091
243300357;243300357
244600540;244600540
248400053;248400053
253301964;253301964
528473010;52847301000189
433952918;43395291800038
318787769;31878776900013
451221295;45122129500012
345187975;34518797500072
437790314;43779031400011
399912682;39991268200024
307422154;30742215400012
193113867;19311386700017
200068641;20006864100014
320291537;32029153700043
511267395;51126739500016
424711422;42471142200073
791923444;79192344400016
487645053;48764505300025
429162720;42916272000040
409788502;40978850200030
253302053;253302053
253304406;253304406
254600208;254600208
254603541;254603541
258705938;258705938
775712078;77571207800000
262300809;262300809
263301079;263301079
268400074;268400074
268400330;268400330
268403383;268403383
268707536;268707536
268710928;268710928
268715422;268715422
273400036;273400036
300725470;300725470
300882859;300882859
300900032;300900032
301275566;301275566
301312260;301312260
301769105;301769105
302472501;302472501
302475041;302475041
302817283;302817283
304351786;304351786
304634405;304634405
305024622;305024622
305119125;305119125
305219859;305219859
[NULL];[NULL]
305405045;305405045
305461550;305461550
306039470;306039470
307206037;307206037
307220129;307220129
307320077;307320077
504882499;50488249900040
308186758;308186758
[NULL];[NULL]
528137904;52813790400017
546480179;54648017900029
333314987;33331498700020
329078653;32907865300022
660802844;66080284400028
322186412;32218641200027
776949281;77694928100013
442032264;44203226400024
440002400;44000240000016
330471665;33047166500019
308530260;308530260
309787588;309787588
309965929;309965929
310530456;310530456
310809470;310809470
311770754;311770754
312204530;312204530
312286917;312286917
312381668;312381668
312912306;312912306
312963606;312963606
312989189;312989189
313701724;313701724
314749821;314749821
315046219;315046219
315128314;315128314
315769075;315769075
316100494;316100494
316112218;316112218
316514561;316514561
316645332;316645332
317216067;317216067
317686145;317686145
414895672;414895672
317686145;317686145A
317765808;317765808
317905859;317905859
317978898;317978898
318090529;318090529
[NULL];[NULL]
318102274;318102274
318103736;318103736
[NULL];[NULL]
318172418;318172418
318379690;318379690
318649688;318649688
318672441;318672441
314492349;314492349
339854572;33985457200023
997769401;99776940100016
710802547;71080254700020
803974427;80397442700020
377759600;37775960000010
451806962;45180696200010
450674890;45067489000014
432050078;43205007800026
383448362;38344836200012
318906575;318906575
319327714;319327714
319404687;319404687
320252992;320252992
321078354;321078354
321155632;321155632
321894172;321894172
321969404;321969404
322191123;322191123
322344649;322344649
322432949;322432949
322710815;322710815
323265462;323265462
323528448;323528448
323551085;323551085
491818241;49181824100045
324069145;324069145
324104454;324104454
324127679;324127679
324243252;324243252
324271048;324271048
324404227;324404227
324444025;324444025
324721802;324721802
325034106;325034106
325064426;325064426
325213478;325213478
325293140;325293140
325337111;325337111
325509032;325509032
325962777;325962777
326101037;326101037
326313343;326313343
326531381;326531381
326554847;326554847
326676988;326676988
326719325;326719325
326750809;326750809
417885266;41788526600029
326791720;326791720
775796675;77579667500012
320861818;32086181800047
326875788;326875788
326905270;326905270
326943438;326943438
321111940;321111940
500840285;50084028500026
492648423;49264842300027
327165635;327165635
327233979;327233979
327434643;327434643
[NULL];[NULL]
327446423;327446423
327527222;327527222
327543583;327543583
327676706;327676706
327843603;327843603
327880084;327880084
328356829;328356829
328658034;328658034
328730676;328730676
